"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
21,1,2,2,NA,NA,NA,5,1991,2,NA,1,10,3,0,1,-9,2,NA,2,NA,NA,1,1,1,1.05e+08,NA,NA,70,88,1,4500000,1,70,1000000,95,80,15,5,25,50,11,12,65,21000000,6e+07,1000000,9e+07,-9,"Argentina"
25,1,2,2,NA,NA,NA,5,1975,1,-6,1,1,0,1,2,NA,2,NA,2,NA,NA,1,1,1,1.8e+07,NA,NA,60,64,2,NA,NA,NA,NA,20,14,6,7,7,0,0,NA,90,5000000,9e+06,-9,-9,7e+06,"Argentina"
45,3,2,2,NA,NA,NA,2,1983,2,NA,1,3,1,0,2,NA,2,NA,NA,NA,NA,1,1,4,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,0,NA,90,10,NA,1,NA,NA,"Argentina"
72,3,1,2,NA,NA,NA,2,1980,2,NA,1,3,2,0,2,NA,2,NA,NA,NA,NA,1,1,6,1e+07,NA,NA,NA,NA,1,9e+05,1,-9,900000,25,NA,NA,NA,NA,NA,0,NA,90,3465000,NA,99000,NA,NA,"Argentina"
51,3,2,1,3,1,1,2,2011,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2.5e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0,NA,90,70,NA,-9,NA,NA,"Argentina"
52,2,2,1,10,1,1,1,1958,2,NA,1,10,0,0,1,10,2,NA,NA,NA,NA,1,1,2,1.92e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,37,1,100,7160000,NA,-9,NA,NA,"Argentina"
52,2,3,1,8,1,1,2,1970,2,NA,1,2,14,0,1,10,2,NA,NA,NA,NA,1,1,2,4.71e+08,NA,NA,NA,NA,1,1500000,1,10,0,280,NA,NA,NA,NA,NA,30,1,100,637,NA,-9,NA,NA,"Argentina"
45,3,1,2,NA,NA,NA,3,2015,2,NA,1,2,1,0,2,NA,2,NA,NA,NA,NA,1,2,4,3e+06,NA,NA,NA,NA,1,50000,1,20,15,8,NA,NA,NA,NA,NA,2,2,0,1200000,NA,10000,NA,NA,"Argentina"
51,3,1,2,NA,NA,NA,2,1999,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,-9,NA,NA,NA,NA,1,-9,NA,NA,3000000,-9,NA,NA,NA,NA,NA,-9,NA,-9,3600000,NA,-9,NA,NA,"Argentina"
29,1,2,2,NA,NA,NA,5,2002,2,NA,1,5,15,0,2,NA,2,NA,2,NA,NA,1,1,1,1.9e+07,NA,NA,60,48,1,1e+05,2,NA,-9,31,22,9,5,10,7,0,NA,27,40,-9,264000,-9,-9,"Argentina"
