"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,3,2,NA,NA,NA,5,1908,2,NA,1,1,1,0,2,NA,2,NA,2,NA,NA,1,1,1,7e+07,NA,NA,75,132,1,300,2,NA,7e+05,200,-9,-9,-9,-9,-9,0,NA,-9,2e+07,32000000,1300000,70000000,120000000,"Bolivia"
15,1,3,2,NA,NA,NA,5,1977,2,NA,1,1,8,0,2,NA,2,NA,1,5,4,1,1,1,9e+07,NA,NA,60,88,1,130000,2,NA,0,238,73,165,5,25,43,20,3,100,25800000,43000000,800000,70000000,80000000,"Bolivia"
52,2,2,1,20,1,1,2,2002,2,NA,2,NA,NA,NA,1,-9,2,NA,NA,NA,NA,1,1,2,1.26e+08,NA,NA,NA,NA,1,7e+05,1,100,0,47,NA,NA,NA,NA,NA,0,NA,100,12,NA,953357,NA,NA,"Bolivia"
22,1,3,2,NA,NA,NA,5,1987,2,NA,1,1,0,10,2,NA,2,NA,2,NA,NA,1,1,1,4276624,NA,NA,70,48,1,-9,NA,NA,-9,170,-9,-9,-9,-9,-9,-9,NA,-9,2701226,1884227,87653,4691332,-9,"Bolivia"
31,1,1,2,NA,NA,NA,5,1996,2,NA,1,4,6,1,2,NA,2,NA,1,90,60,1,1,1,-9,-7,-7,20,40,2,NA,NA,NA,NA,19,11,8,9,2,0,9,1,3,-9,55400,1200,-9,-9,"Bolivia"
28,1,1,2,NA,NA,NA,3,1997,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,3e+05,NA,NA,30,40,2,NA,NA,NA,NA,5,1,4,1,0,0,3,3,1,3e+05,84000,4200,450000,500000,"Bolivia"
52,2,1,2,NA,NA,NA,5,1964,2,NA,-9,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,6960000,NA,NA,NA,NA,1,40000,2,NA,0,12,NA,NA,NA,NA,NA,0,NA,10,2148552,NA,-9,NA,NA,"Bolivia"
45,3,1,2,NA,NA,NA,5,1987,2,NA,1,3,4,0,2,NA,2,NA,NA,NA,NA,1,2,4,0,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,10500,NA,3000,NA,NA,"Bolivia"
21,1,3,1,3,1,2,1,1946,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,208800000,0,0,90,80,1,104400000,1,100,2500000,251,220,31,80,120,20,20,6,100,2.8e+07,112000000,2300000,154000000,160000000,"Bolivia"
51,3,1,1,2,1,1,3,1997,1,3,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2e+06,NA,NA,NA,NA,1,20000,1,30,20000,6,NA,NA,NA,NA,NA,2,3,4,187200,NA,3360,NA,NA,"Bolivia"
51,3,2,2,NA,NA,NA,5,1985,2,NA,1,3,2,1,2,NA,2,NA,NA,NA,NA,1,1,3,6000400,NA,NA,NA,NA,2,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,2,2,20,1e+06,NA,-9,NA,NA,"Bolivia"
52,2,2,2,NA,NA,NA,2,2003,2,NA,1,1,0,20,1,5,1,-6,NA,NA,NA,1,1,2,5e+06,NA,NA,NA,NA,1,105000,1,100,0,24,NA,NA,NA,NA,NA,5,3,100,862000,NA,5000,NA,NA,"Bolivia"
50,3,2,1,6,1,2,5,2012,1,40,1,1,6,1,2,NA,2,NA,NA,NA,NA,1,1,6,-9,NA,NA,NA,NA,1,-9,NA,NA,-9,62,NA,NA,NA,NA,NA,0,NA,-9,-9,NA,-9,NA,NA,"Bolivia"
72,3,1,2,NA,NA,NA,5,1995,2,NA,1,1,0,30,2,NA,2,NA,NA,NA,NA,1,1,6,750500,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,100,257000,NA,1560,NA,NA,"Bolivia"
50,3,1,2,NA,NA,NA,5,1983,2,NA,1,1,0,7,2,NA,2,NA,NA,NA,NA,1,1,3,1250000,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,NA,100,805000,NA,8000,NA,NA,"Bolivia"
17,1,3,2,NA,NA,NA,5,1972,2,NA,1,6,1,0,2,NA,2,NA,2,NA,NA,1,1,1,-9,NA,NA,50,48,2,NA,NA,NA,NA,118,110,8,110,0,0,0,NA,100,-9,-9,-9,-9,-9,"Bolivia"
51,3,3,1,4,2,NA,2,1986,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,279000312,NA,NA,NA,NA,1,-9,NA,NA,-9,370,NA,NA,NA,NA,NA,15,2,90,27522741,NA,345366,NA,NA,"Bolivia"
52,2,2,2,NA,NA,NA,1,1916,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,2.1e+07,NA,NA,NA,NA,1,280000,2,NA,0,20,NA,NA,NA,NA,NA,2,2,100,840000,NA,31500,NA,NA,"Bolivia"
51,3,1,2,NA,NA,NA,5,1995,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,1.2e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,5,518400,NA,-9,NA,NA,"Bolivia"
22,1,2,2,NA,NA,NA,2,2001,2,NA,1,2,0,1,2,NA,2,NA,2,NA,NA,1,1,1,2.7e+07,NA,NA,70,48,1,3500000,1,70,70000,80,70,10,50,20,0,0,NA,100,5e+06,4000000,500000,30000000,3700000,"Bolivia"
60,3,3,2,NA,NA,NA,1,1996,1,20,1,8,4,0,1,5,2,NA,NA,NA,NA,1,1,6,1.36e+08,NA,NA,NA,NA,1,5e+06,1,100,0,395,NA,NA,NA,NA,NA,0,NA,100,33833530,NA,-9,NA,NA,"Bolivia"
60,3,1,2,NA,NA,NA,5,2013,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,6,1e+06,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,100,3e+05,NA,4548,NA,NA,"Bolivia"
18,1,2,2,NA,NA,NA,5,1978,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,580000,NA,NA,60,30,2,NA,NA,NA,NA,9,5,4,5,0,0,25,10,100,152656,-9,9600,-9,2300000,"Bolivia"
24,1,3,2,NA,NA,NA,2,1986,1,15,2,NA,NA,NA,1,0,2,NA,2,NA,NA,1,1,1,1.4e+08,NA,NA,60,96,1,350000,1,50,0,350,200,150,50,100,50,0,NA,90,1.4e+07,63000000,-9,84000000,28000000,"Bolivia"
15,1,1,2,NA,NA,NA,3,1973,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,540000,NA,NA,40,98,2,NA,NA,NA,NA,15,4,11,1,3,0,0,NA,14,3e+05,200000,30000,530000,-9,"Bolivia"
52,2,3,1,4,1,2,2,1981,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,2,130844860,NA,NA,NA,NA,1,1630317,1,80,725508,389,NA,NA,NA,NA,NA,0,NA,87,36318417,NA,348264,NA,NA,"Bolivia"
