"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
24,1,3,2,NA,NA,NA,2,1950,2,NA,2,NA,NA,NA,2,NA,1,-6,1,3,5,1,1,1,38957625,NA,NA,95,48,2,NA,NA,NA,NA,260,200,60,100,50,50,0,NA,100,3888913,4259880,117361,33204952,1698971,"Ecuador"
28,1,1,2,NA,NA,NA,5,2011,2,NA,1,5,1,0,2,NA,2,NA,-7,NA,NA,1,2,1,478000,NA,NA,60,60,1,15000,2,NA,0,21,16,5,3,13,0,0,NA,25,222000,26000,3600,440000,227632,"Ecuador"
25,1,2,2,NA,NA,NA,5,2001,1,15,1,4,3,0,1,10,2,NA,2,NA,NA,1,1,1,4000000,NA,NA,60,144,1,50000,1,100,0,21,15,6,3,12,0,0,NA,100,394000,2600000,3e+05,3779904,3000000,"Ecuador"
24,1,3,2,NA,NA,NA,2,2010,2,NA,1,2,0,1,1,10,2,NA,2,NA,NA,1,1,1,16000000,NA,NA,70,80,1,2000000,1,100,0,200,150,50,40,40,70,0,NA,90,1722301,2447639,140000,9399761,17000000,"Ecuador"
21,1,3,2,NA,NA,NA,2,1961,2,NA,1,3,5,0,2,NA,2,NA,2,NA,NA,1,1,1,110000000,0,0,89,100,1,2700000,2,NA,300000,520,450,70,50,210,190,20,3,80,8085175,72000000,2493446,90985245,62217,"Ecuador"
25,1,1,2,NA,NA,NA,5,1996,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,515854,NA,NA,96,45,1,15000,1,100,0,16,9,7,1,6,2,6,1,3,170400,164169,3429,432560,250000,"Ecuador"
28,1,3,2,NA,NA,NA,2,1990,2,NA,1,0,NA,NA,1,95,2,NA,-7,NA,NA,1,1,1,6100000,NA,NA,70,50,2,NA,NA,NA,NA,110,70,40,60,10,0,20,2,80,2000000,3000000,30000,5200000,3000000,"Ecuador"
51,3,2,2,NA,NA,NA,2,2005,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,1,3,3800000,NA,NA,NA,NA,1,60000,1,100,0,65,NA,NA,NA,NA,NA,3,3,90,450000,NA,96000,NA,NA,"Ecuador"
28,1,2,2,NA,NA,NA,5,2010,1,3,2,NA,NA,NA,1,20,2,NA,1,0,NA,1,1,1,2159502,NA,NA,50,56,1,30000,1,100,0,26,23,3,10,13,0,3,3,10,274557,1612468,4000,2050059,230000,"Ecuador"
15,1,3,2,NA,NA,NA,5,2001,1,15,2,NA,NA,NA,1,-9,1,-9,2,NA,NA,1,2,1,7500000,NA,NA,70,56,2,NA,NA,NA,NA,250,200,50,20,180,0,20,1,95,391000,1400000,178000,4500000,600000,"Ecuador"
25,1,3,2,NA,NA,NA,2,1985,2,NA,1,1,1,0,1,1,2,NA,2,NA,NA,1,1,1,11255203,0,0,70,50,1,800000,1,100,120000,111,70,41,10,20,40,0,NA,100,1673073,6074230,173530,8633492,3500000,"Ecuador"
15,1,3,1,2,2,NA,2,1986,2,NA,1,3,-9,-9,1,-9,2,NA,2,NA,NA,1,1,1,21969328,NA,NA,60,60,2,NA,NA,NA,NA,100,60,40,-9,-9,-9,0,NA,-9,1586597,13603013,288853,17109011,8314438,"Ecuador"
28,1,2,2,NA,NA,NA,3,1977,2,NA,2,NA,NA,NA,2,NA,2,NA,-7,NA,NA,1,1,1,600000,NA,NA,50,40,1,1500,1,100,0,80,40,40,10,20,10,15,4,90,120000,250000,8000,600000,50000,"Ecuador"
17,1,2,2,NA,NA,NA,2,1968,2,NA,1,0,NA,NA,1,30,2,NA,2,NA,NA,1,1,1,4472151,0,0,52,58,2,NA,NA,NA,NA,90,80,10,2,0,78,0,NA,70,1100000,1599000,242000,3150000,2700000,"Ecuador"
24,1,3,2,NA,NA,NA,5,1977,1,15,1,1,0,15,2,NA,2,NA,2,NA,NA,1,1,1,11000000,NA,NA,-9,55,1,300000,1,50,100000,145,120,25,25,30,65,0,NA,100,1800000,3300000,96000,5713425,3000000,"Ecuador"
15,1,3,2,NA,NA,NA,5,1989,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,40000000,NA,NA,60,48,1,369000,2,NA,2243000,480,325,155,31,21,273,0,NA,100,6280729,20035592,335601,28542863,5754900,"Ecuador"
