"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
52,2,1,2,NA,NA,NA,2,1996,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,3.6e+09,NA,NA,NA,NA,2,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,NA,100,6.03e+08,NA,34635000,NA,NA,"Paraguay"
51,3,1,1,2,1,2,2,1987,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,3e+09,NA,NA,NA,NA,2,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,0,NA,100,4.5e+08,NA,6e+06,NA,NA,"Paraguay"
52,2,1,2,NA,NA,NA,3,2007,2,NA,1,1,0,1,2,NA,2,NA,NA,NA,NA,1,2,2,6e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,3,100,9.5e+07,NA,5e+06,NA,NA,"Paraguay"
72,3,1,2,NA,NA,NA,5,2002,2,NA,1,5,0,1,1,1,2,NA,NA,NA,NA,1,1,6,9.6e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,4,100,2.4e+08,NA,4200000,NA,NA,"Paraguay"
15,1,2,1,4,1,2,4,1992,1,7,1,2,-9,-9,2,NA,2,NA,1,2,1,1,1,1,7e+09,NA,NA,95,60,1,8e+08,1,90,-9,20,8,12,-9,-9,-9,20,-9,80,-9,-9,2e+08,-9,-9,"Paraguay"
52,2,0,2,NA,NA,NA,5,1960,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,2,2,8e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,100,2e+07,NA,1e+06,NA,NA,"Paraguay"
52,2,3,2,NA,NA,NA,2,1952,1,30,1,1,1,0,1,80,2,NA,NA,NA,NA,1,1,2,1.6e+11,NA,NA,NA,NA,1,2.8e+08,1,100,0,400,NA,NA,NA,NA,NA,0,NA,100,1.179e+10,NA,4.58e+08,NA,NA,"Paraguay"
72,3,1,2,NA,NA,NA,5,1992,2,NA,1,3,0,0,1,1,2,NA,NA,NA,NA,1,1,6,4.8e+08,NA,NA,NA,NA,1,1.8e+07,1,100,2.2e+07,8,NA,NA,NA,NA,NA,0,NA,100,3.84e+08,NA,14400000,NA,NA,"Paraguay"
72,3,2,2,NA,NA,NA,2,1985,2,NA,1,2,0,1,2,NA,2,NA,NA,NA,NA,2,1,6,6.5e+09,NA,NA,NA,NA,1,2e+08,1,100,-9,40,NA,NA,NA,NA,NA,2,6,100,1.5e+09,NA,3.6e+07,NA,NA,"Paraguay"
15,1,3,2,NA,NA,NA,2,1983,2,NA,1,0,NA,NA,1,100,2,NA,2,NA,NA,1,1,1,-9,NA,NA,-9,48,2,NA,NA,NA,NA,387,100,287,10,6,84,20,2,75,-9,-9,-9,-9,-9,"Paraguay"
24,1,3,2,NA,NA,NA,5,1983,1,-9,1,1,0,30,2,NA,2,NA,2,NA,NA,1,1,1,6.4676e+10,0,0,40,70,1,2e+09,1,75,1e+09,340,120,220,15,20,85,0,NA,60,1.3e+10,1.2e+10,3e+08,3.9237e+10,9682520000,"Paraguay"
15,1,3,2,NA,NA,NA,2,1928,2,NA,1,4,3,0,1,-9,2,NA,2,NA,NA,1,1,1,1.3e+11,NA,NA,70,40,1,7.9e+07,1,7,0,219,87,132,80,7,0,0,NA,100,8.2e+09,1.04e+11,1.4e+08,1.3e+11,3.885e+12,"Paraguay"
24,1,3,1,3,1,2,2,1988,-9,NA,1,0,NA,NA,1,-9,2,NA,2,NA,NA,1,1,1,1.139e+11,NA,NA,100,72,2,NA,NA,NA,NA,182,160,22,10,50,-9,0,NA,100,-9,-9,-9,-9,-9,"Paraguay"
24,1,3,2,NA,NA,NA,3,1977,2,NA,1,0,NA,NA,1,40,2,NA,2,NA,NA,1,1,1,-9,0,0,100,50,1,-9,NA,NA,-9,200,150,50,90,40,20,0,NA,70,-9,-9,-9,-9,-9,"Paraguay"
51,3,3,2,NA,NA,NA,2,1974,2,NA,1,6,0,30,1,6,2,NA,NA,NA,NA,1,1,3,9e+10,NA,NA,NA,NA,1,832500000,1,50,0,200,NA,NA,NA,NA,NA,70,2,100,1.5e+10,NA,5e+08,NA,NA,"Paraguay"
