"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
17,1,2,2,NA,NA,NA,2,1978,2,NA,1,1,10,0,1,1,2,NA,1,8,24,1,2,1,5e+06,NA,NA,60,80,1,200000,1,80,0,26,20,6,6,10,4,4,12,99,507937,-9,312000,2850000,3500000,"Peru"
51,3,2,1,7,1,2,2,1992,2,NA,1,2,4,0,2,NA,2,NA,NA,NA,NA,1,1,3,8.5e+07,NA,NA,NA,NA,1,500000,1,20,700000,60,NA,NA,NA,NA,NA,5,5,90,-9,NA,30000,NA,NA,"Peru"
52,2,1,2,NA,NA,NA,2,1972,2,NA,1,7,3,0,1,5,2,NA,NA,NA,NA,1,2,2,19240000,NA,NA,NA,NA,2,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,0,NA,100,228000,NA,48000,NA,NA,"Peru"
18,1,3,2,NA,NA,NA,2,1989,2,NA,2,NA,NA,NA,1,1,2,NA,2,NA,NA,1,1,1,1.8e+08,0,0,80,60,1,5000000,1,70,17000000,1500,800,700,400,200,200,200,3,70,30000000,20000000,2000000,52000000,3000000,"Peru"
18,1,2,2,NA,NA,NA,5,1996,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,902000,NA,NA,25,40,1,25000,1,100,-9,20,16,4,1,15,0,20,3,4,-9,-9,-9,-9,200000,"Peru"
18,1,0,2,NA,NA,NA,3,1996,2,NA,1,0,NA,NA,2,NA,2,NA,-7,NA,NA,2,2,1,124000,NA,NA,100,48,2,NA,NA,NA,NA,3,3,0,1,2,0,0,NA,100,30600,43200,3840,78332,32500,"Peru"
18,1,1,2,NA,NA,NA,3,1994,2,NA,1,3,2,0,2,NA,2,NA,1,3,2,1,2,1,-9,NA,NA,30,49,2,NA,NA,NA,NA,5,4,1,0,3,1,0,NA,100,70000,48000,36000,250000,1000000,"Peru"
15,1,3,1,6,1,2,1,1996,1,730,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,3.4e+08,0,0,50,168,1,150000000,1,80,0,1200,800,400,400,200,200,0,NA,95,45000000,250000000,15000000,310000000,800000000,"Peru"
51,3,2,2,NA,NA,NA,2,1980,2,NA,1,0,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,20160000,NA,NA,NA,NA,1,-9,NA,NA,0,46,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Peru"
51,3,3,2,NA,NA,NA,2,1997,1,15,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,1.2e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,7,12,100,4200000,NA,120000,NA,NA,"Peru"
15,1,0,2,NA,NA,NA,5,1994,2,NA,2,NA,NA,NA,1,1,2,NA,1,2,6,2,2,1,96000,NA,NA,70,68,2,NA,NA,NA,NA,4,3,1,1,2,0,1,1,50,45000,20400,6000,80000,20000,"Peru"
51,3,2,2,NA,NA,NA,5,2003,2,NA,1,1,5,0,2,NA,2,NA,NA,NA,NA,1,1,3,2e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,0,NA,100,1000000,NA,6000,NA,NA,"Peru"
60,3,3,2,NA,NA,NA,2,1982,1,-6,1,0,NA,NA,1,12,2,NA,NA,NA,NA,1,1,6,1e+08,NA,NA,NA,NA,1,3000000,1,30,3000000,750,NA,NA,NA,NA,NA,0,NA,98,13500000,NA,6000000,NA,NA,"Peru"
25,1,2,2,NA,NA,NA,3,1979,2,NA,1,2,4,0,1,1,2,NA,2,NA,NA,1,1,1,5e+06,NA,NA,100,150,1,150000,1,100,0,50,35,15,15,12,8,0,NA,100,55000,21000,25000,101000,568000,"Peru"
52,2,3,2,NA,NA,NA,2,1982,2,NA,1,1,12,0,1,1,2,NA,NA,NA,NA,1,1,2,3.5e+07,NA,NA,NA,NA,1,800000,1,10,0,180,NA,NA,NA,NA,NA,0,NA,100,5000000,NA,400000,NA,NA,"Peru"
15,1,2,2,NA,NA,NA,3,1997,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,4800000,NA,NA,100,133,1,100000,1,80,0,58,20,38,5,15,0,4,3,100,700000,-9,66400,-9,-9,"Peru"
52,2,0,2,NA,NA,NA,2,1995,2,NA,1,1,0,4,2,NA,1,73,NA,NA,NA,1,1,2,4e+06,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,6,100,54500,NA,3600,NA,NA,"Peru"
18,1,1,2,NA,NA,NA,3,1979,2,NA,1,1,0,4,2,NA,2,NA,2,NA,NA,2,2,1,70000,NA,NA,100,48,1,10000,1,25,0,6,4,2,1,1,2,2,2,100,-9,-9,3600,-9,-9,"Peru"
52,2,1,2,NA,NA,NA,5,1999,2,NA,1,-9,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,1e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,0,NA,100,300000,NA,7500,NA,NA,"Peru"
17,1,3,1,5,1,2,1,1990,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,2.5e+08,1,0,70,144,1,-9,NA,NA,0,763,745,18,35,70,640,0,NA,94,-9,-9,-9,-9,-9,"Peru"
18,1,2,2,NA,NA,NA,2,2002,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,2524000,0,0,86,168,2,NA,NA,NA,NA,30,21,9,3,2,16,2,-9,80,500000,600000,360000,-9,6000000,"Peru"
15,1,0,2,NA,NA,NA,3,2000,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,220000,NA,NA,40,48,2,NA,NA,NA,NA,4,3,1,0,3,0,0,NA,100,49800,-9,49800,-9,-9,"Peru"
24,1,2,1,2,1,1,2,1954,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,-9,NA,NA,25,60,1,200000,2,NA,0,20,14,6,14,0,0,0,NA,70,420000,450000,850000,1720000,600000,"Peru"
15,1,3,2,NA,NA,NA,2,1988,2,NA,1,-9,NA,NA,1,30,2,NA,2,NA,NA,1,1,1,1.98e+08,NA,NA,70,168,1,330000,1,-9,0,900,300,600,100,100,100,100,2,100,-9,-9,-9,-9,-9,"Peru"
18,1,3,2,NA,NA,NA,2,1991,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.2e+08,0,0,85,60,1,1000000,1,70,0,1650,1500,150,-9,-9,-9,-9,NA,100,48975000,38117000,2332000,95367000,100000000,"Peru"
24,1,2,2,NA,NA,NA,2,1970,2,NA,1,0,NA,NA,1,25,2,NA,2,NA,NA,1,1,1,4e+06,NA,NA,33,50,1,400000,1,100,0,38,30,8,4,6,20,3,3,100,800000,1200000,40000,2040000,4000000,"Peru"
15,1,0,2,NA,NA,NA,5,1976,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,2,2,1,30000,NA,NA,20,48,2,NA,NA,NA,NA,3,2,1,0,2,0,0,NA,100,20000,40000,4800,64800,10000,"Peru"
24,1,1,2,NA,NA,NA,2,1998,2,NA,1,2,4,0,2,NA,2,NA,2,NA,NA,1,1,1,557150,NA,NA,10,48,2,NA,NA,NA,NA,5,4,1,1,3,0,0,NA,100,278700,-9,3500,-9,-9,"Peru"
17,1,1,2,NA,NA,NA,2,1994,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,1500000,NA,NA,60,48,2,NA,NA,NA,NA,10,7,3,1,2,4,0,NA,100,-9,-9,60000,-9,450000,"Peru"
29,1,3,2,NA,NA,NA,2,1977,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.2e+07,NA,NA,66,48,2,NA,NA,NA,NA,111,73,38,61,8,4,0,NA,100,5433331,3230847,169244,8833422,19800000,"Peru"
52,2,3,2,NA,NA,NA,2,1934,1,90,1,1,2,0,1,2,2,NA,NA,NA,NA,1,1,2,5e+07,NA,NA,NA,NA,1,100000,1,100,0,150,NA,NA,NA,NA,NA,4,3,100,6000000,NA,112000,NA,NA,"Peru"
17,1,3,2,NA,NA,NA,2,1963,2,NA,1,0,NA,NA,1,1,2,NA,2,NA,NA,1,1,1,1e+07,0,0,90,144,1,200000,2,NA,0,105,83,22,30,15,38,0,NA,100,2831837,4958549,243182,8285568,4500000,"Peru"
18,1,2,1,2,1,2,2,1973,2,NA,1,0,NA,NA,1,1,2,NA,1,1,4,1,1,1,3350000,1,0,80,48,1,120000,2,NA,0,30,20,10,12,3,5,0,NA,83,298300,713770,52125,2259800,3000000,"Peru"
51,3,3,1,2,1,2,2,1994,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,4e+07,NA,NA,NA,NA,1,170000,1,20,5000000,110,NA,NA,NA,NA,NA,0,NA,100,4200000,NA,60000,NA,NA,"Peru"
51,3,3,1,3,1,2,2,1971,1,60,1,0,NA,NA,1,0,2,NA,NA,NA,NA,1,1,3,1e+08,NA,NA,NA,NA,2,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,40,3,90,-9,NA,262000,NA,NA,"Peru"
18,1,2,2,NA,NA,NA,2,2000,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,6200000,0,0,60,45,1,90000,1,-9,0,45,37,8,0,37,0,30,2,90,1770000,3750000,-9,-9,14500000,"Peru"
51,3,2,2,NA,NA,NA,3,1973,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,3,2e+07,NA,NA,NA,NA,1,-9,NA,NA,-9,38,NA,NA,NA,NA,NA,0,NA,100,-9,NA,-9,NA,NA,"Peru"
51,3,1,2,NA,NA,NA,3,1980,2,NA,1,2,3,0,2,NA,2,NA,NA,NA,NA,1,1,3,5800000,NA,NA,NA,NA,1,0,NA,NA,2000000,10,NA,NA,NA,NA,NA,5,6,100,300000,NA,30000,NA,NA,"Peru"
15,1,2,2,NA,NA,NA,2,1998,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,4.4e+07,NA,NA,70,56,2,NA,NA,NA,NA,50,30,20,5,5,20,5,8,90,1000000,40000000,100000,41100000,100000000,"Peru"
