"Sector.Detail","Sector","Size","Part.Of.Larger.Firm","Num.Establishments","Headquarters","Separate.Financial.Statements","Firm.Status","Establishment.Begin.Year","Electrical.Application","Electrical.Wait","Power.Outage","Num.Power.Outages","Power.Outage.Duration.Hours","Power.Outage.Duration.Minutes","Generator","Generator.Use","Water.Application","Water.Wait","Water.Outage","Num.Water.Outages","Water.Outage.Duration","Email","Website","Main.Activity","Sales.Nominal","Theft.Loss","Breakage.Loss","Capacity.Utilization","Operation.Hours","Capital.Purchases.Bool","Capital.Purchases.Amount","Upgraded.Capital.Bool","Upgraded.Capital.Percent","Land.Buildings.Amount","Full.Time.Employees","Full.Time.Employees.Production","Full.Time.Employees.Non.Production","Full.Time.Employees.Production.High.Skill","Full.Time.Employees.Production.Mid.Skill","Full.Time.Employees.Production.Low.Skill","Full.Time.Employees.Temporary","Full.Time.Employees.Temporary.Duration","Full.Time.Employees.Secondary.School.Percent","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Total.Cost","Capital.Value","Country"
15,1,1,2,NA,NA,NA,5,1996,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,-9,NA,NA,85,108,2,NA,NA,NA,NA,12,3,9,1,2,0,0,NA,2,-9,-9,-9,-9,2030000,"Uruguay"
15,1,1,2,NA,NA,NA,5,1965,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,2,1,-9,NA,NA,50,114,2,NA,NA,NA,NA,7,3,4,0,3,0,2,1,0,-9,-9,300000,3e+05,-9,"Uruguay"
15,1,1,2,NA,NA,NA,2,1980,2,NA,1,1,1,0,2,NA,2,NA,2,NA,NA,1,1,1,-9,NA,NA,30,25,2,NA,NA,NA,NA,11,4,-9,1,2,-9,0,NA,-9,-9,-9,-9,-9,-9,"Uruguay"
52,2,1,2,NA,NA,NA,2,1983,-9,NA,-9,NA,NA,NA,-9,NA,-9,NA,NA,NA,NA,2,2,2,13171431,NA,NA,NA,NA,1,500000,1,100,-9,13,NA,NA,NA,NA,NA,14,1,-9,6135733,NA,365010,NA,NA,"Uruguay"
15,1,1,2,NA,NA,NA,5,1939,2,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,1.7e+07,NA,NA,50,84,1,750000,1,50,0,19,8,11,3,3,2,0,NA,8,6e+06,6e+06,480000,-9,2800000,"Uruguay"
24,1,2,2,NA,NA,NA,2,1890,2,NA,1,0,NA,NA,2,NA,2,NA,2,NA,NA,1,1,1,48395000,NA,NA,73,50,1,11500,2,NA,0,44,32,12,2,8,22,0,NA,12,15700000,21840000,600000,38140000,-9,"Uruguay"
52,2,1,2,NA,NA,NA,5,1960,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,2,1200000,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,NA,25,4e+05,NA,60000,NA,NA,"Uruguay"
52,2,1,2,NA,NA,NA,5,1990,2,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,2,2,-9,NA,NA,NA,NA,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,NA,50,-9,NA,80000,NA,NA,"Uruguay"
55,3,1,2,NA,NA,NA,3,1985,2,NA,1,1,1,0,2,NA,2,NA,NA,NA,NA,1,1,5,2016000,NA,NA,NA,NA,1,300000,1,100,170000,7,NA,NA,NA,NA,NA,6,6,100,-9,NA,-9,NA,NA,"Uruguay"
52,2,1,2,NA,NA,NA,5,1991,2,NA,-9,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,2,2,41681609,NA,NA,NA,NA,1,-9,NA,NA,0,11,NA,NA,NA,NA,NA,0,NA,-9,5263438,NA,451834,NA,NA,"Uruguay"
24,1,3,1,3,1,2,2,1961,2,NA,1,1,2,0,1,2,2,NA,2,NA,NA,1,1,1,1.14e+09,0,0,90,50,1,8500000,2,NA,1.6e+07,143,107,36,18,40,49,0,NA,-9,136012748,105575000,5152000,555239000,-9,"Uruguay"
52,2,1,2,NA,NA,NA,2,1989,1,3,1,1,0,0,2,NA,2,NA,NA,NA,NA,1,1,2,7e+07,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,-9,80,4e+06,NA,72000,NA,NA,"Uruguay"
