"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"8",15,1,7e+07,3e+07,2e+07,3e+06,1e+07,"Argentina"
"13",29,1,1e+08,4e+07,2e+07,2e+06,5e+07,"Argentina"
"14",15,1,1.5e+09,2.5e+08,6e+08,2e+07,4.5e+08,"Argentina"
"16",28,1,6500000,3e+06,1500000,90000,1e+07,"Argentina"
"22",31,1,1.2e+07,3400000,9e+06,210000,750000,"Argentina"
"24",15,1,4500000,1200000,1e+06,1e+05,5e+05,"Argentina"
"29",34,1,3e+07,2856000,3600000,60000,9e+05,"Argentina"
"33",18,1,4980000,2646000,1762000,85000,2e+06,"Argentina"
"34",15,1,3e+07,1.7e+07,6e+06,70000,7e+06,"Argentina"
"36",22,1,16600000,7300000,3900000,370000,1e+07,"Argentina"
"38",15,1,1.4e+07,2300000,7e+06,150000,2800000,"Argentina"
"40",15,1,2300000,1500000,360000,70000,2e+06,"Argentina"
"41",20,1,2e+08,2e+06,4800000,3600000,2e+08,"Argentina"
"44",37,1,33800000,1e+07,9e+06,6e+06,1e+07,"Argentina"
"52",28,1,2.4e+07,3500000,7500000,93000,825000,"Argentina"
"54",28,1,1e+07,5500000,3400000,60000,1.6e+07,"Argentina"
"60",24,1,1.5e+07,2928769,4771350,118439,2e+06,"Argentina"
"61",18,1,2.8e+07,2e+07,5e+06,350000,1e+07,"Argentina"
"62",34,1,27204000,6270900,1e+07,361000,5800000,"Argentina"
"66",28,1,2.4e+07,8e+06,1e+07,135000,1.5e+07,"Argentina"
"71",15,1,7e+05,3e+05,2e+05,50000,3e+06,"Argentina"
"73",25,1,7e+06,2e+06,4e+06,110000,1e+07,"Argentina"
"75",15,1,4.4e+07,7e+06,3.5e+07,690000,2e+07,"Argentina"
"76",22,1,3e+08,2e+08,5e+07,1800000,1e+07,"Argentina"
"78",21,1,2.4e+07,5300000,6300000,360000,6e+06,"Argentina"
"81",15,1,1.5e+08,1.7e+07,1.05e+08,960000,3e+07,"Argentina"
"84",28,1,2815489843,231885730,1.449e+09,3.1e+07,1.6e+09,"Argentina"
"90",18,1,72411658,30371342,16817745,233880,2200000,"Argentina"
"91",15,1,4500000,2e+06,5e+05,80000,5e+05,"Argentina"
"92",36,1,1.5e+08,3.5e+07,3e+07,2e+05,1.8e+07,"Argentina"
"95",18,1,3e+08,7e+07,7e+07,2e+06,1e+08,"Argentina"
"96",18,1,3120000,2400000,1e+06,20000,6e+05,"Argentina"
"97",25,1,2e+08,7.6e+07,3.6e+07,4e+06,2e+07,"Argentina"
"98",17,1,8.8e+07,2.2e+07,6e+07,6e+05,2e+07,"Argentina"
"100",17,1,11500000,3500000,3300000,5e+05,4.5e+07,"Argentina"
"104",34,1,2.4e+08,8.5e+07,1.33e+08,7e+06,1e+08,"Argentina"
"105",18,1,12300000,1431000,4761000,14971,1500000,"Argentina"
"106",18,1,47841000,17061000,21243000,87000,1500000,"Argentina"
"107",19,1,1373263036,275395000,838958340,29095167,113774123,"Argentina"
"111",28,1,2.5e+08,9e+07,1.12e+08,2e+06,4e+07,"Argentina"
"112",17,1,3.5e+07,4700000,1.4e+07,1500000,3e+07,"Argentina"
"119",24,1,1.8e+07,2934603,3073076,30000,2054007,"Argentina"
"121",24,1,1.8e+07,8e+06,3e+06,250000,4e+06,"Argentina"
