"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a1","a12","a1a","a1c","a7","a7a","a7b","a11","a7c","a9","a20y","a20m","a20d","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","ASCn3","ASCn4","ASCn5","ASCn5b","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","ASCd5","ASCd6","ASCd7","ASCd8","ASCd9a","ASCd9b","ASCd9d","ASCd9e","ASCd9c","ASCd9f","ASCd14","ASCd15","ASCd16","ASCd17","ASCd18a","ASCd18b","ASCd18d","ASCd18e","ASCd18c","ASCd18f","d30a","d30b","ASCr1","ASCr2","ASCr7","ASCr8","ASCr111","ASCr112","ASCr11","e1","e2b","e6","e11","ASCe12","ASCe12x","ASCe13","ASCe14","e30","h1","h2","ASCh2","h3x","h4x","h5","h6x","h7x","h8","h9","ASCh10a","ASCh10b","ASCh10c","ASCh10d","ASCh10e","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","ASCn6","ASCn7","n5b","k5a","k5a1","k5bc","k5bc1","k5i","k5i1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k8","k9","ASCk8","ASCk8x","ASCk9","k10","k11","ASCk13","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","ASCk17","ASCk18","ASCk19","k20a1","ASCk22","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","ASCj16","ASCj17","ASCj18","ASCj19","ASCj20a","ASCj20b","ASCj20c","ASCj20d","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","ASCn8","ASCn9","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
622307,2,3,3,4,2,2,2,4,21,1,4,2,5,6,2017,15,12,1,29,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",80,100,0,0,0,1,10,1991,25,1,1991,30,2,2,"",2,NA,NA,1,10,3,0,-9,NA,1,-9,2,NA,NA,2,NA,NA,1,1,0,0,1,"Paperboard Boxes, Micro-Corrugated And Corrugated Cardboard Boxes",2102,100,1.05e+08,"One Hundred Five Million",7.5e+07,1,30,1,30,100,0,0,NA,NA,NA,NA,NA,0,0,70,30,2,NA,NA,95,0,99,1,4,4,1,1,1,1,100,100,100,2,4,4,1,1,1,1,3,2,3,4,3,3,1,4,NA,2,7,2,2,NA,"",2,2,4,1,1,1,"Change The Material In Main Product. From Micro-Corrugated Cardboard In Printing To Micro Paper With Flexographic Printing","Is The Same, We Do It To Lower Costs",1,"New Machines","Completely New",1,200000,2,2,1,2,2,70,88,50,50,0,50,50,0,2,NA,NA,NA,NA,"",2,1,NA,800000,2,NA,NA,0,100,95,100,0,0,0,0,1,4500000,1,70,1000000,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,200000,0,1,1,1,1,3,"",2,2016,3500000,36,1,2,1,2,2,2,3500000,8,1.2e+07,2,1,NA,NA,1,NA,1,2,1,2,1,10,1,1,2,2,NA,0,NA,1,3,2,2,NA,NA,1,3,1,2,1,1,1,2,4,1,0,0,0,0,95,125,80,15,5,25,50,5,7,NA,11,0,12,65,1,100,NA,100,NA,2,2,14,21000000,6e+07,1000000,NA,9e+07,2,20,-9,-9,"Ceo",26,1,"",NA,NA,"",NA,NA,5,6,2017,16,26,1,1,1,NA,NA,4,3,3,1,1.15226078033447,1,1,108
622308,5,3,1,4,2,2,2,1,25,1,4,2,4,5,2017,8,50,1,23,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",90,100,0,0,0,1,10,1975,3,1,1975,50,2,1,"Iso 9000",1,-6,2,1,1,0,1,NA,21000,2,NA,2,NA,NA,2,NA,NA,1,1,0,0,1,"Plastic Parts For Vehicles",2520,60,1.8e+07,"Eighteen Million",1.4e+07,1,-9,1,60,100,0,0,NA,NA,NA,NA,NA,0,1,30,70,2,NA,NA,100,0,95,1,4,4,4,4,2,2,100,0,100,2,4,3,4,4,4,4,0,2,2,3,4,1,2,NA,NA,1,5,2,1,5,"",2,2,1,2,NA,NA,"","",2,"","",1,-9,2,2,1,2,2,60,64,100,0,0,100,0,0,1,-5,2,NA,NA,"",0,1,1,NA,2,NA,NA,0,100,100,70,0,0,30,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,6,"",1,2012,1500000,60,1,1,2,2,2,2,3000000,2,7e+05,2,2,7,2,NA,NA,NA,2,2,0,2,5,2,NA,NA,2,NA,0,NA,-9,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,3,1,20,28,14,6,7,7,0,0,0,NA,0,NA,NA,90,1,100,NA,100,NA,1,3,3,5000000,9e+06,-9,NA,-9,1,4,1.3e+07,7e+06,"Ceo",4,1,"",NA,NA,"",NA,NA,4,5,2017,9,54,1,2,1,NA,NA,4,1,3,1,237.355270385742,228.42317199707,234.949905395508,90
622309,7,4,2,4,2,2,2,6,45,3,4,2,15,5,2017,9,13,1,25,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",-9,100,0,0,0,1,50,1983,-9,1,1983,34,2,2,"",2,NA,NA,1,3,1,0,-9,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,2,3,4,"Corporate Offices",4520,90,-9,"",-9,1,50,1,60,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,50,0,95,2,4,4,2,1,1,1,85,0,100,2,2,3,3,1,1,1,2,1,3,4,3,4,2,NA,NA,NA,NA,NA,1,4,"",1,1,3,2,NA,NA,"","",2,"","",2,NA,2,2,1,2,1,NA,NA,100,0,0,100,0,0,1,30,2,NA,NA,"",0,1,1,NA,2,NA,NA,1,5,100,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1500,0,1,1,1,1,2,"",1,2013,1500000,48,2,NA,NA,NA,NA,NA,NA,-9,NA,2,2,1,NA,NA,NA,NA,2,1,0,2,2,1,1,2,2,NA,-9,NA,1,25,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,2,45,60,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,90,1,NA,NA,NA,NA,3,3,12,10,NA,1,NA,NA,NA,NA,NA,NA,"Accountant",10,1,"",NA,NA,"",NA,NA,15,5,2017,9,52,1,2,1,NA,NA,4,2,4,1,27.0000019073486,27,27,101
622310,9,5,2,4,2,2,2,6,72,3,4,1,18,5,2017,15,39,1,25,1,2,2,NA,NA,NA,NA,NA,2016,6,31,2,"",90,100,0,0,0,1,7,1980,3,1,1980,40,2,1,"Iso9001",2,NA,NA,1,3,2,0,-9,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,3,3,6,"Hardware And Software",7229,70,1e+07,"Ten Million",1.2e+07,1,50,1,50,80,0,20,NA,NA,NA,NA,2000,0,0,40,60,1,21,1,100,50,50,-9,3,4,4,4,1,4,100,30,80,-9,3,3,2,1,1,2,3,3,3,2,4,2,NA,NA,5,NA,NA,NA,1,5,"",1,1,2,1,1,1,"Hardware And Software Services With Improvements In Resource Structures And New Tools","Reduction Of Waiting Time For Client, Reduction Of Incidents",1,"Reduction Of Waiting Time For Client, Reduction Of Incidents","Reduction Of Waiting Time For Client, Reduction Of Incidents",1,1000000,1,2,1,2,2,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,3,NA,2,NA,NA,0,0,100,50,30,0,20,0,1,9e+05,1,-9,900000,50,NA,50,NA,0,NA,0,NA,0,NA,0,NA,1,850000,850000,1,1,1,2,13,"Banco De La Provincia De CóRdoba",1,2015,870000,40,1,2,2,2,1,2,2600000,2,9e+05,2,1,NA,NA,2,1,1,2,1,2,3,20,2,NA,NA,1,20,0,NA,1,15,2,2,NA,NA,1,3,1,1,2,1,1,1,3,3,3,3,3,1,25,50,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,90,1,NA,NA,NA,NA,3,3,8,3465000,NA,99000,NA,NA,NA,NA,NA,NA,"President",37,1,"",NA,NA,"",NA,NA,18,5,2017,16,50,1,1,1,NA,NA,4,2,5,1,100.25,100.25,100.25,103
622311,12,4,2,4,2,2,2,1,51,3,4,2,15,5,2017,15,16,1,29,1,2,1,3,1,1,1,NA,2016,6,30,2,"",50,100,0,0,0,2,NA,2011,10,1,2011,15,2,2,"",2,NA,NA,1,-9,NA,NA,-9,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,4,3,3,"Sale Of Constructions Articles",5143,100,2.5e+07,"Twenty-Five Million",1.4e+07,1,-9,1,-9,100,0,0,NA,NA,NA,NA,NA,0,5,100,0,NA,NA,NA,-9,-9,100,1,1,1,1,1,2,2,100,100,-9,1,2,2,3,3,2,4,3,1,3,-9,3,1,NA,NA,-7,NA,NA,NA,1,3,"",1,1,2,1,1,1,"Internet Sale","Completely New",1,"Improvement In Logistic","Completely New",2,NA,1,1,1,1,1,NA,NA,50,50,0,50,50,0,-9,NA,NA,NA,NA,"",1,1,-9,NA,2,NA,NA,0,100,85,30,60,0,0,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,-9,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,NA,-9,NA,-9,1,0,1,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,2,2,25,20,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,90,2,NA,NA,NA,NA,1,3,9,70,NA,-9,NA,NA,NA,NA,NA,NA,"President",6,1,"",NA,NA,"",NA,NA,15,5,2017,15,51,1,1,1,NA,NA,4,2,4,1,27.0000019073486,27,27,101
622312,13,4,3,4,2,2,2,4,52,2,4,2,5,6,2017,12,34,1,15,1,2,1,10,1,1,1,NA,2017,3,31,1,"",51,51,49,0,0,2,NA,1958,3,2,1985,17,2,2,"",2,NA,NA,1,10,0,0,0,NA,1,10,2,NA,NA,NA,NA,NA,1,1,3,3,2,"Electronics Sale",5233,100,1.92e+08,"One Hundred Ninety-Two Million",1.72e+08,1,25,1,35,100,0,0,NA,NA,NA,NA,NA,2,6,95,5,2,NA,NA,100,0,70,2,5,5,3,1,1,1,100,0,95,2,5,5,3,3,1,1,3,0,3,2,4,2,1,4,NA,NA,NA,NA,1,3,"",1,1,2,1,2,1,"New Business Besides Electronics, Such As Tires, Batteries, Furniture","Expand To New Categories, Needs Presented By Own Clients",1,"Changed All Logistic System","Third Party Logistic",1,735000,1,2,1,2,1,NA,NA,0,100,0,0,100,0,2,NA,NA,2200,3,"",0,1,NA,500000,1,1,NA,1,100,42,20,40,0,40,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300000,15500000,1,1,1,2,1,"",2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,-9,NA,2,1,NA,NA,1,NA,1,1,1,4,2,0,1,1,2,2,NA,-9,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,0,2,144,159,NA,NA,NA,NA,NA,NA,NA,45,37,-9,1,100,2,NA,NA,NA,NA,2,1,13,7160000,NA,-9,2.12e+08,NA,NA,NA,NA,NA,"Operation Manager",2,1,"",NA,NA,"",NA,NA,5,6,2017,13,29,1,2,1,NA,NA,4,3,4,1,1.2897322177887,1.23376154899597,1.17961764335632,110
622313,14,4,3,4,2,2,2,4,52,2,4,3,7,6,2017,14,49,1,1024,1,2,1,8,1,1,1,2,2016,4,30,2,"",59,100,0,0,0,1,41,1970,-9,2,1983,35,2,2,"",2,NA,NA,1,2,14,0,0,NA,1,10,2,NA,NA,NA,NA,NA,1,1,1,4,2,"Retail Sale",5239,30,4.71e+08,"Four Hundred Seventy-One Million",1.96e+08,1,30,1,20,100,0,0,NA,NA,NA,NA,NA,2,0,80,20,2,NA,NA,100,20,70,3,4,4,1,1,1,1,90,0,90,1,5,5,1,1,1,1,4,3,3,3,4,2,NA,NA,5,NA,NA,NA,1,3,"",1,1,2,1,1,1,"Electronic Part In Tablets","Electronic",1,"Logistic","Inventory",2,NA,2,2,1,1,1,NA,NA,40,60,0,0,0,100,1,-6,1,-9,NA,"",0,1,NA,600000,1,-9,NA,3,100,20,60,30,0,10,0,1,1500000,1,10,0,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,1,300000,0,1,1,1,1,6,"",1,2016,280000,46,1,2,1,2,2,2,280000,6,-9,2,1,NA,NA,2,1,1,1,1,1,2,60,1,3,2,2,NA,0,NA,1,30,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,2,0,280,-9,NA,NA,NA,NA,NA,NA,NA,120,30,25,1,100,1,NA,NA,NA,NA,0,2,15,637,NA,-9,3.09e+08,NA,NA,NA,NA,NA,"Administrative Manager",15,2,"",NA,NA,"",NA,NA,7,6,2017,15,50,1,1,1,NA,NA,4,3,4,1,6.37693405151367,6.4329047203064,6.4870491027832,110
622314,18,5,1,4,2,2,2,1,45,3,4,1,4,5,2017,14,54,1,1027,1,2,2,NA,NA,NA,NA,NA,2016,12,15,3,"",100,100,0,0,0,2,NA,2015,4,2,2015,18,2,2,"",2,NA,NA,1,2,1,0,NA,24000,2,NA,2,NA,NA,NA,NA,NA,1,2,0,1,4,"Manufacturing Of Pre-Mold Cement",4520,100,3e+06,"Three Million",-7,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,5,100,0,NA,NA,NA,-9,-9,-9,2,4,3,3,1,2,-9,90,10,95,2,4,2,2,1,2,2,2,1,2,4,3,4,2,NA,NA,NA,NA,NA,1,5,"",1,1,2,1,1,1,"Non-Thermal Tiles","Completely New",1,"Renewing Matrixes","Completely New",1,30000,1,2,2,2,1,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",3,2,NA,NA,1,NA,25000,3,0,10,100,0,0,0,0,1,50000,1,20,15,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,NA,2,NA,2,2,3,1,15,1,2,2,2,NA,-9,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,4,8,-7,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,2,NA,NA,NA,NA,4,3,10,1200000,NA,10000,NA,NA,NA,NA,NA,NA,"Owner",1,1,"",NA,NA,"",NA,NA,4,5,2017,15,53,1,2,1,NA,NA,4,1,5,1,149.000015258789,149.000015258789,149,94
622315,22,5,1,4,2,2,2,1,51,3,4,1,5,5,2017,15,31,1,29,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",42,100,0,0,0,2,NA,1999,2,2,2001,35,2,2,"",2,NA,NA,1,-9,NA,NA,5,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,2,0,3,"Infrastructure Gas, Plumbing And Electric Materials",5143,-9,-9,"",-9,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,60,40,1,7,2,80,-9,10,3,3,4,1,1,1,1,-9,-9,-9,3,3,4,1,1,1,1,2,2,2,4,6,2,NA,NA,2,NA,NA,NA,2,NA,"",2,2,3,1,2,2,"Led For Street","No Driver",2,"","",1,-9,1,2,2,1,1,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",3,2,NA,NA,1,-9,NA,2,0,-9,80,0,0,20,0,1,-9,NA,NA,3000000,NA,100,NA,0,NA,0,NA,0,NA,0,NA,0,1,-9,-9,1,1,1,1,2,"",1,2014,-9,-9,1,2,1,2,1,2,-9,-9,NA,-9,-9,NA,NA,NA,NA,NA,-9,-9,2,1,-9,2,NA,NA,1,0,0,NA,1,30,2,2,NA,NA,1,3,1,1,1,2,1,1,-9,2,-9,2,3,2,-9,14,NA,NA,NA,NA,NA,NA,NA,-9,-9,NA,NA,-9,-9,NA,NA,NA,NA,-9,-9,13,3600000,NA,-9,NA,NA,NA,NA,NA,NA,"Partner",17,1,"",NA,NA,"",NA,NA,5,5,2017,16,46,1,2,1,NA,NA,4,1,5,1,149.000015258789,149.000015258789,149,94
622316,25,3,2,4,2,2,2,6,29,1,4,2,15,8,2017,9,59,1,1024,1,2,2,NA,NA,NA,NA,NA,2016,12,1,5,"",82,100,0,0,0,1,82,2002,4,1,2002,10,2,1,"Iso 9001",2,NA,NA,1,5,15,0,-9,NA,2,NA,2,NA,NA,2,NA,NA,1,1,4,2,1,"Special Manufacture Machines",2919,95,1.9e+07,"Nineteen Million",1e+07,1,40,1,45,100,0,0,NA,NA,NA,NA,NA,0,0,90,10,2,NA,NA,90,70,90,3,4,4,1,1,1,1,95,50,75,2,4,4,1,1,1,1,1,1,2,2,3,1,NA,NA,5,1,2,2,1,4,"",2,1,1,1,1,2,"Design And Laundry Machine Components","Similar, There Were Some Improvements",1,"Logistics, Internal Organization, Maintenance","Improve Logistics And Storage",1,100000,1,2,1,2,1,60,48,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,5,NA,2,NA,NA,1,5,80,45,5,0,40,10,1,1e+05,2,NA,-9,90,NA,0,NA,10,NA,0,NA,0,NA,0,NA,1,800000,0,1,1,1,2,1,"",2,2015,600000,2,1,2,1,2,1,2,-9,2,-9,2,2,4,1,NA,2,NA,2,2,2,3,15,1,-9,2,2,NA,0,NA,1,60,2,2,NA,NA,1,2,1,1,1,1,1,-9,4,4,2,2,2,2,31,29,22,9,5,10,7,0,1,NA,0,NA,NA,27,1,80,NA,NA,1,3,2,14,40,-9,264000,NA,-9,1,10,-9,-9,"Partner",15,2,"",NA,NA,"",NA,NA,15,8,2017,11,18,1,1,1,NA,NA,4,2,3,1,28.0684547424316,28.118860244751,28.9833469390869,99
