"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a1","a12","a1a","a1c","a7","a7a","a7b","a11","a7c","a9","a20y","a20m","a20d","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","ASCn3","ASCn4","ASCn5","ASCn5b","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","ASCd5","ASCd6","ASCd7","ASCd8","ASCd9a","ASCd9b","ASCd9d","ASCd9e","ASCd9c","ASCd9f","ASCd14","ASCd15","ASCd16","ASCd17","ASCd18a","ASCd18b","ASCd18d","ASCd18e","ASCd18c","ASCd18f","d30a","d30b","ASCr1","ASCr2","ASCr7","ASCr8","ASCr111","ASCr112","ASCr11","e1","e2b","e6","e11","ASCe12","ASCe12x","ASCe13","ASCe14","e30","h1","h2","ASCh2","h3x","h4x","h5","h6x","h7x","h8","h9","ASCh10a","ASCh10b","ASCh10c","ASCh10d","ASCh10e","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","ASCn6","ASCn7","n5b","k5a","k5a1","k5bc","k5bc1","k5i","k5i1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k8","k9","ASCk8","ASCk8x","ASCk9","k10","k11","ASCk13","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","ASCk17","ASCk18","ASCk19","k20a1","ASCk22","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","ASCj16","ASCj17","ASCj18","ASCj19","ASCj20a","ASCj20b","ASCj20c","ASCj20d","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","ASCn8","ASCn9","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
614725,1,1,1,1,1,1,3,1,52,2,1,1,7,3,2017,13,47,6,1005,1,1,2,NA,NA,NA,NA,NA,2016,12,31,2,"",95,5,95,0,0,1,100,1996,6,1,1996,17,1,2,"",2,NA,NA,1,0,NA,NA,0,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,1,1,2,"Accessories (Audio, Computing, Batteries)",5239,85,3.6e+09,"Three Billion Six Hundred Million",5.3e+09,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,1,1,0,100,1,10,1,25,0,90,3,4,1,1,1,1,1,60,0,95,1,3,2,1,1,1,1,1,2,1,2,5,4,2,NA,NA,NA,NA,NA,1,5,"",1,1,3,1,1,1,"Technological Products And Accessories Of Cellular And Computer Science","Brand New",2,"","",2,NA,2,2,2,2,1,NA,NA,15,85,0,15,85,0,2,NA,NA,250,3,"",0,2,NA,NA,2,NA,NA,0,75,1,25,50,0,25,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,9,"",2,2016,5e+08,48,1,2,2,2,1,2,2e+09,4,9.35e+08,2,1,NA,NA,1,NA,1,2,2,2,1,20,2,NA,NA,2,NA,0,NA,1,1,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,2,0,13,17,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,100,2,NA,NA,NA,NA,1,2,4,6.03e+08,NA,34635000,1602618000,NA,NA,NA,NA,NA,"Finance Manager",19,2,"",NA,NA,"",NA,NA,7,3,2017,14,59,1,1,1,NA,NA,1,1,1,1,2.96481251716614,11.2003707885742,12.7655515670776,2
614726,4,1,1,1,1,1,3,1,51,3,1,1,14,3,2017,8,30,6,1005,1,1,1,2,1,2,NA,NA,2016,12,31,2,"",95,100,0,0,0,2,NA,1987,6,1,1987,40,2,2,"",2,NA,NA,1,0,NA,NA,-9,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,2,2,3,"Book Sale",5190,100,3e+09,"Three Billion",3.8e+09,1,10,1,20,100,0,0,NA,NA,NA,NA,NA,0,0,20,80,1,7,2,70,0,100,2,1,5,1,1,1,1,95,10,100,2,5,5,1,1,1,1,2,2,3,3,6,4,NA,NA,4,NA,NA,NA,1,1,"",1,1,3,2,NA,NA,"","",2,"","",1,5e+07,2,1,1,1,1,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,70,50,50,0,0,50,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,NA,NA,2,2,1,1,10,2,NA,NA,1,0,0,NA,2,NA,NA,2,NA,NA,1,1,1,1,1,1,1,1,0,2,0,2,4,0,15,16,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,100,2,NA,NA,NA,NA,2,2,12,4.5e+08,NA,6e+06,NA,NA,NA,NA,NA,NA,"Owner",1,1,"",NA,NA,"",NA,NA,14,3,2017,9,23,1,1,1,NA,NA,1,1,1,1,2.96481251716614,11.2003707885742,12.7655515670776,2
614727,5,2,1,1,1,1,3,1,52,2,1,1,28,3,2017,8,6,6,1001,1,1,2,NA,NA,NA,NA,NA,2016,12,31,3,"",100,100,0,0,0,2,NA,2007,1,2,2015,25,2,2,"",2,NA,NA,1,1,0,1,1,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,2,1,2,"Electronic Products Repair",5260,70,6e+08,"Six Hundred Million",-9,-9,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,2,100,0,NA,NA,NA,100,0,5,2,4,4,3,1,1,1,80,0,5,2,4,5,1,1,1,1,1,1,2,1,4,4,2,NA,NA,NA,NA,NA,1,4,"",1,1,3,2,NA,NA,"","",1,"The Use Of Social Media To Communicate With Their Customers","Brand New",2,NA,2,2,1,1,1,NA,NA,0,100,0,0,100,0,2,NA,NA,-9,NA,"",1,1,NA,1e+06,1,-9,NA,3,20,40,80,0,0,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,1,2,1,2,NA,NA,2,NA,0,NA,2,NA,NA,1,90,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,3,5,-9,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,100,2,NA,NA,NA,NA,2,3,12,9.5e+07,NA,5e+06,-9,NA,NA,NA,NA,NA,"Owner",2,1,"",NA,NA,"",NA,NA,28,3,2017,9,36,1,1,1,NA,NA,1,1,2,1,2.77770638465881,17.019832611084,32.0947570800781,4
614728,6,3,1,1,1,1,3,1,72,3,1,1,30,3,2017,17,42,6,1001,1,1,2,NA,NA,NA,NA,NA,2016,12,31,5,"",50,100,0,0,0,2,NA,2002,3,1,2002,19,2,2,"",2,NA,NA,1,5,0,1,NA,1000000,1,1,2,NA,NA,NA,NA,NA,1,1,4,4,6,"Pc Repair",7250,20,9.6e+08,"Nine Hundred Sixty Million",9.8e+08,1,20,7,NA,100,0,0,NA,NA,NA,NA,NA,0,-9,60,40,1,45,2,-9,0,40,2,4,2,1,1,1,2,-9,-9,2,4,4,3,2,1,2,1,2,0,2,2,5,2,NA,NA,5,NA,NA,NA,1,3,"",1,1,-7,1,-9,2,"External Gang For Placement Of Network Cables","Brand New",1,"Procedures, New Tools And More Control","Brand New",2,NA,2,2,1,2,2,NA,NA,50,50,0,50,50,0,1,-6,1,NA,NA,"",4,1,NA,1e+07,1,-9,NA,2,50,90,50,0,0,50,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18500000,0,1,1,1,1,9,"",2,2012,-9,12,2,NA,NA,NA,NA,NA,NA,-9,NA,2,2,7,2,NA,NA,NA,2,2,2,1,20,1,2,1,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,0,7,4,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,100,2,NA,NA,NA,NA,1,2,14,2.4e+08,NA,4200000,NA,NA,NA,NA,NA,NA,"Partner And Manager",5,1,"",NA,NA,"",NA,NA,30,3,2017,19,33,1,1,1,NA,NA,1,1,3,1,1,3.15565943717957,3.13815927505493,6
614729,7,1,2,1,1,1,3,1,15,1,1,2,23,2,2017,10,3,6,1003,1,1,1,4,1,2,NA,NA,2016,12,31,4,"",50,100,0,0,0,2,NA,1992,2,1,1992,35,2,2,"",1,7,2,1,2,-9,-9,5,NA,2,NA,2,NA,NA,1,2,1,1,1,1,4,1,"Corn",1531,-9,7e+09,"Seven Billlion",2e+08,1,8,2,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,-9,100,1,4,3,2,1,1,2,90,5,100,2,2,1,2,1,1,1,2,0,3,2,3,1,2,NA,NA,1,-4,2,1,2,"",1,2,2,2,NA,NA,"","",1,"Branch Offices","The New Office Branches Increased The Company'S Administration Quality",2,NA,1,2,2,2,1,95,60,100,0,0,100,0,0,1,1,2,NA,NA,"",0,2,NA,NA,2,NA,NA,0,10,-9,100,0,0,0,0,1,8e+08,1,90,-9,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,1,0,1,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,0,0,20,20,8,12,-9,-9,-9,-9,1,NA,20,4,-9,80,1,100,NA,100,NA,0,3,4,-9,-9,2e+08,NA,-9,-9,NA,1e+08,-9,"Manager",32,1,"",NA,NA,"",NA,NA,23,2,2017,11,17,1,4,1,NA,NA,1,2,1,1,1.36743307113647,2.71059393882751,1.33330571651459,8
614730,9,2,1,1,1,1,3,1,52,2,1,0,23,2,2017,15,15,6,1001,1,1,2,NA,NA,NA,NA,NA,2016,12,31,5,"",50,100,0,0,0,1,50,1960,3,1,1960,30,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,1,0,2,"Small Electrical Aplliances Sale",5233,50,8e+07,"Eighty Million",5e+07,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,0,100,2,NA,NA,90,0,100,1,1,1,1,1,1,1,60,0,80,2,1,1,1,1,1,1,0,0,1,1,2,1,NA,NA,-7,NA,NA,NA,1,3,"",1,-9,3,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,NA,NA,0,100,0,0,100,0,2,NA,NA,48,3,"",0,1,NA,2500000,2,NA,NA,0,80,80,50,0,0,50,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,3,NA,"",2,2017,-9,48,2,NA,NA,NA,NA,NA,NA,1,-9,2,2,1,NA,NA,NA,NA,2,2,2,1,1,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,100,2,NA,NA,NA,NA,0,0,12,2e+07,NA,1e+06,4.5e+07,NA,NA,NA,NA,NA,"Owner",35,1,"",NA,NA,"",NA,NA,1,3,2017,16,2,1,2,3,1,10,1,1,2,1,2.77770638465881,17.019832611084,32.0947570800781,4
614731,12,2,2,1,1,1,3,1,52,2,1,3,28,2,2017,16,30,6,1005,1,1,2,NA,NA,NA,NA,NA,2016,12,31,2,"",50,100,0,0,0,2,NA,1952,20,1,1952,35,2,2,"",1,30,2,1,1,1,0,0,NA,1,80,2,NA,NA,NA,NA,NA,1,1,2,3,2,"Electrical Appliance Retailer",5233,98,1.6e+11,"One Hundred Sixty Billion",1.51e+11,1,15,1,15,100,0,0,NA,NA,NA,NA,NA,0,1,5,95,1,90,2,95,1,100,2,4,4,-9,1,1,1,50,5,5,3,4,4,3,1,1,1,3,1,2,1,4,3,NA,NA,3,NA,NA,NA,1,5,"",1,1,1,1,1,1,"White Line: Refrigerators, Washing Machines, Air Conditioning","Brand New",2,"","",1,2e+08,1,2,1,1,1,NA,NA,50,50,0,50,50,0,1,-6,2,-9,NA,"",3,1,2,NA,1,NA,200000000,1,30,50,50,40,10,0,0,1,2.8e+08,1,100,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,1,1,-9,"",2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,-9,NA,-9,-9,NA,NA,NA,NA,NA,2,1,0,1,5,1,-9,2,2,NA,0,NA,2,NA,NA,2,NA,NA,1,1,-9,-9,1,1,1,2,1,1,1,2,1,0,400,400,NA,NA,NA,NA,NA,NA,NA,240,0,NA,NA,100,1,NA,NA,NA,NA,1,1,9,1.179e+10,NA,4.58e+08,1.45e+11,NA,NA,NA,NA,NA,"Marketing Manager",1,1,"Accountant",1,2,"",NA,NA,3,3,2017,8,51,1,1,3,1,30,1,2,2,1,1,1.68947267532349,1.73948454856873,10
614732,18,3,1,1,1,1,3,1,72,3,1,1,16,3,2017,9,53,6,1001,1,1,2,NA,NA,NA,NA,NA,2016,12,31,5,"",90,100,0,0,0,1,50,1992,4,1,1992,10,2,2,"",2,NA,NA,1,3,0,0,0,NA,1,1,2,NA,NA,NA,NA,NA,1,1,3,4,6,"Software Information",7221,100,4.8e+08,"Four Hundred Eighty Million",4e+08,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,-7,NA,80,20,2,NA,NA,0,-9,0,1,4,3,3,1,1,1,100,100,0,2,5,5,1,1,3,1,2,-7,3,1,4,2,NA,NA,2,NA,NA,NA,2,NA,"",-9,1,2,1,1,1,"Computer System For Credit Rates","Better Internal Design For Business Logics, Offered As A Web System For Multi Platform Devices",1,"Better Attention Of Clients Because Of The Registration Of Web Problem","Brand New",1,2e+07,1,1,1,1,1,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,4,0,20,100,0,0,0,0,1,1.8e+07,1,100,2.2e+07,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1.5e+07,0,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,0,4,20,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,0,8,6,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,100,2,NA,NA,NA,NA,2,4,9,3.84e+08,NA,14400000,NA,NA,NA,NA,NA,NA,"Partner And Manager",10,1,"",NA,NA,"",NA,NA,16,3,2017,10,54,1,1,1,NA,NA,1,1,3,1,1,3.15565943717957,3.13815927505493,6
614733,21,3,3,1,1,1,3,1,72,3,1,2,28,2,2017,10,58,6,1003,1,1,2,NA,NA,NA,NA,NA,2016,12,31,2,"",60,0,100,0,0,1,24,1985,7,1,1985,43,2,2,"",2,NA,NA,1,2,0,1,NA,18000000,2,NA,2,NA,NA,NA,NA,NA,2,1,4,4,6,"Software",7229,100,6.5e+09,"Six Billion Five Hundred Million",6e+09,2,20,5,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,-9,100,-9,1,3,2,1,1,1,2,100,80,95,2,4,4,1,1,1,1,4,1,3,2,4,2,1,2,NA,NA,NA,NA,2,NA,"",2,1,1,2,NA,NA,"","",1,"Process Of Implementing Systems In Clients","Brand New",1,2e+08,1,1,1,1,1,NA,NA,50,50,0,50,50,0,2,NA,NA,NA,NA,"",2,1,1,NA,2,NA,NA,4,-9,100,95,5,0,0,0,1,2e+08,1,100,-9,90,NA,0,NA,10,NA,0,NA,0,NA,0,NA,1,1.5e+08,0,1,1,1,1,11,"Vision",2,2013,2e+08,12,2,NA,NA,NA,NA,NA,NA,3,-9,2,1,NA,NA,2,1,2,2,2,2,4,0,2,NA,NA,2,NA,0,NA,2,NA,NA,1,30,2,1,3,1,1,2,2,2,2,0,1,0,1,1,2,40,32,NA,NA,NA,NA,NA,NA,NA,20,2,2,6,100,1,NA,NA,NA,NA,1,3,9,1.5e+09,NA,3.6e+07,NA,NA,NA,NA,NA,NA,"General Manager",32,1,"",NA,NA,"",NA,NA,28,2,2017,12,12,1,1,1,NA,NA,1,3,3,1,1.63648164272308,3.03610229492188,2.72343611717224,17
614734,29,1,3,1,1,1,3,1,15,1,1,3,10,3,2017,8,5,6,1007,1,1,2,NA,NA,NA,NA,NA,2016,12,31,2,"",99,100,0,0,0,1,1,1983,-9,1,1983,35,2,1,"Iso 9001",2,NA,NA,1,0,NA,NA,0,NA,1,100,2,NA,NA,2,NA,NA,1,1,0,1,1,"Bottled Mineral Water",1554,-9,-9,"",-9,-9,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,-9,-9,100,0,NA,NA,NA,-9,-9,-9,1,4,4,2,1,2,2,100,100,0,2,3,1,1,1,1,1,4,-9,3,2,3,2,NA,NA,5,2,-4,1,1,5,"",1,-9,3,1,1,1,"Improvement Of Soda Water: Bottle Labels And Models","Always Improving The Quality Of The Products",1,"Changes In Techniques And Procedures In The Quality Of Products","Production'S Quality",2,NA,1,1,1,2,1,-9,48,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,-9,NA,1,-9,NA,1,-9,-9,50,50,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,-9,1,-9,-9,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,NA,NA,NA,NA,NA,-9,1,2,1,100,1,-9,-9,1,-9,10,NA,-9,NA,NA,2,NA,NA,1,3,-9,1,1,1,1,2,4,3,0,0,4,2,387,390,100,287,10,6,84,7,25,NA,20,0,2,75,1,100,NA,50,NA,4,2,3,-9,-9,-9,NA,-9,-9,NA,-9,-9,"Head Of Human Resources",3,2,"",NA,NA,"",NA,NA,10,3,2017,9,12,1,1,1,NA,NA,1,3,1,1,1.15071177482605,2.04697751998901,1.70425462722778,14
