"Series.Code","Series.Name"
""," Data from database: World Development Indicators Last Updated: 05/02/2018"
"AG.AGR.TRAC.NO","Agricultural machinery, tractors"
"AG.CON.FERT.PT.ZS","Fertilizer consumption (% of fertilizer production)"
"AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)"
"AG.LND.AGRI.K2","Agricultural land (sq. km)"
"AG.LND.ARBL.HA","Arable land (hectares)"
"AG.LND.ARBL.ZS","Arable land (% of land area)"
"AG.LND.CREL.HA","Land under cereal production (hectares)"
"AG.LND.CROP.ZS","Permanent cropland (% of land area)"
"AG.LND.EL5M.RU.K2","Rural land area where elevation is below 5 meters (sq. km)"
"AG.LND.FRST.K2","Forest area (sq. km)"
"AG.LND.IRIG.AG.ZS","Agricultural irrigated land (% of total agricultural land)"
"AG.LND.PRCP.MM","Average precipitation in depth (mm per year)"
"AG.LND.TOTL.K2","Land area (sq. km)"
"AG.LND.TOTL.RU.K2","Rural land area (sq. km)"
"AG.PRD.CREL.MT","Cereal production (metric tons)"
"AG.SRF.TOTL.K2","Surface area (sq. km)"
"AG.YLD.CREL.KG","Cereal yield (kg per hectare)"
"EN.ATM.METH.AG.KT.CE","Agricultural methane emissions (thousand metric tons of CO2 equivalent)"
"EN.ATM.NOXE.AG.KT.CE","Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)"
"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)"
"NV.AGR.TOTL.CD","Agriculture, value added (current US$)"
"NV.AGR.TOTL.ZS","Agriculture, value added (% of GDP)"
"SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment) (modeled ILO estimate)"
"SL.EMP.1524.SP.NE.ZS","Employment to population ratio, ages 15-24, total (%) (national estimate)"
"SL.EMP.1524.SP.ZS","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
"SL.EMP.TOTL.SP.MA.NE.ZS","Employment to population ratio, 15+, male (%) (national estimate)"
"SL.EMP.TOTL.SP.ZS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
"SP.POP.0014.TO","Population ages 0-14, total"
"SP.POP.1564.TO","Population ages 15-64, total"
"SP.POP.65UP.TO","Population ages 65 and above, total"
"SP.POP.TOTL","Population, total"
"SP.RUR.TOTL","Rural population"
"TX.VAL.AGRI.ZS.UN","Agricultural raw materials exports (% of merchandise exports)"
