"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a1","a12","a1a","a1c","a7","a7a","a7b","a11","a7c","a9","a20y","a20m","a20d","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","ASCn3","ASCn4","ASCn5","ASCn5b","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","ASCd5","ASCd6","ASCd7","ASCd8","ASCd9a","ASCd9b","ASCd9d","ASCd9e","ASCd9c","ASCd9f","ASCd14","ASCd15","ASCd16","ASCd17","ASCd18a","ASCd18b","ASCd18d","ASCd18e","ASCd18c","ASCd18f","d30a","d30b","ASCr1","ASCr2","ASCr7","ASCr8","ASCr111","ASCr112","ASCr11","e1","e2b","e6","e11","ASCe12","ASCe12x","ASCe13","ASCe14","e30","h1","h2","ASCh2","h3x","h4x","h5","h6x","h7x","h8","h9","ASCh10a","ASCh10b","ASCh10c","ASCh10d","ASCh10e","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","ASCn6","ASCn7","n5b","k5a","k5a1","k5bc","k5bc1","k5i","k5i1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k8","k9","ASCk8","ASCk8x","ASCk9","k10","k11","ASCk13","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","ASCk17","ASCk18","ASCk19","k20a1","ASCk22","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","ASCj16","ASCj17","ASCj18","ASCj19","ASCj20a","ASCj20b","ASCj20c","ASCj20d","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","ASCn8","ASCn9","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
614215,2,1,3,1,2,1,2,100,15,1,1,3,7,4,2017,10,25,2,174,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",99,99,0,0,1,1,1,1908,-9,2,1925,6,2,1,"Iso 22000 De",2,NA,NA,1,1,1,0,3,NA,2,NA,2,NA,NA,2,NA,NA,1,1,4,2,1,"Cheese Puffs",1549,50,7e+07,"Seventy Million",7.9e+07,1,1,1,5,100,0,0,NA,NA,NA,NA,NA,0,1,70,30,1,3,2,90,50,95,5,4,4,1,1,1,1,60,5,99,3,4,4,2,1,1,2,2,2,3,2,4,1,2,NA,NA,2,-4,2,1,5,"",1,1,3,1,1,2,"The Snaks","Utilization Of The Raw Material Has Become Stabilized With Some High-Quality Parameters",1,"The Obtaining Of The Iso 20000","The Difference Is That He Has Become Social, Quality",1,2e+05,2,1,1,1,1,75,132,100,0,0,100,0,0,1,6,2,NA,NA,"",1,1,1,NA,2,NA,NA,2,90,50,30,40,0,30,0,1,300,2,NA,7e+05,0,NA,70,NA,20,NA,0,NA,10,NA,0,NA,-9,NA,NA,1,2,1,1,10,"",2,2017,2.5e+07,10,1,1,2,2,2,2,60000000,2,1000000,2,1,NA,NA,1,NA,1,1,1,2,1,10,1,3,2,1,0,0,NA,1,30,2,2,NA,NA,1,1,1,2,1,1,1,2,3,3,1,4,1,4,200,150,-9,-9,-9,-9,-9,-9,-9,NA,0,NA,NA,-9,1,100,NA,100,NA,-9,2,-9,2e+07,32000000,1300000,NA,70000000,1,3,90000000,120000000,"General Manager",28,1,"Forewoman Of Human Resources",25,2,"",NA,NA,6,5,2017,8,28,2,2,2,1,10,1,3,1,1,1,1.0371401309967,1,12
614216,5,1,3,1,2,1,2,100,15,1,1,3,5,4,2017,12,5,2,102,1,2,2,NA,NA,NA,NA,NA,2016,6,30,5,"",60,100,0,0,0,1,71,1977,-9,1,1977,12,1,1,"Bpm",2,NA,NA,1,1,8,0,NA,53000,2,NA,2,NA,NA,1,5,4,1,1,3,3,1,"Sausages",1511,30,9e+07,"Ninety Million",9.3e+07,1,10,7,NA,100,0,0,NA,NA,NA,NA,NA,0,3,70,30,1,30,2,100,40,60,3,4,4,1,1,2,1,100,5,80,3,5,5,2,1,2,2,4,3,2,2,4,4,NA,NA,4,1,30,2,1,4,"",1,1,3,1,2,1,"Sausage In Bulk, Five-Kilo Packing","The Product Cost And The Packing Of The Product",1,"Investment In A Re-Twisting Automatic Machine What Allows To Have A Length And The Most Uniform Sausage","Production Is More Homogeneous, Automatation",2,NA,1,1,1,2,1,60,88,40,60,0,100,0,0,2,NA,NA,NA,NA,"",1,1,NA,300000,2,NA,NA,1,80,70,20,0,0,60,20,1,130000,2,NA,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,3000000,0,1,1,1,1,2,"",2,2016,2500000,60,1,1,2,2,2,2,2500000,2,3800000,1,1,NA,NA,2,7,1,2,1,2,2,2,1,10,2,2,NA,0,NA,1,2,2,1,180,2,1,1,1,1,2,1,1,1,2,3,3,2,2,1,238,252,73,165,5,25,43,20,80,NA,20,8,3,100,1,0,NA,44,NA,4,4,10,25800000,43000000,800000,NA,70000000,2,5,54000000,80000000,"General Manager",12,2,"",NA,NA,"",NA,NA,5,4,2017,13,55,1,1,1,NA,NA,1,3,1,1,1,1.25962746143341,1.08888459205627,12
614217,7,2,2,1,2,1,2,100,52,2,1,2,17,4,2017,11,5,2,166,1,2,1,20,1,1,1,NA,2016,12,31,2,"",60,100,0,0,0,1,33,2002,8,1,2002,17,1,1,"Iso 9000 Iso 9002 Iso 14000",2,NA,NA,2,NA,NA,NA,NA,NA,1,-9,2,NA,NA,NA,NA,NA,1,1,0,2,2,"Nutritional Products",5220,95,1.26e+08,"One Hundred Twenty-Six Million (Eighty Million Dollars)",1.12e+08,1,4,3,NA,100,0,0,NA,NA,NA,NA,NA,10,0,30,70,1,45,NA,80,0,80,3,3,4,3,1,3,3,90,90,100,3,4,4,3,2,3,2,2,2,2,2,4,3,NA,NA,5,NA,NA,NA,1,2,"",2,-9,2,1,2,2,"Nutritional Products","Coming Magnus With A New Composition Nicelizados",2,"","",1,140000,1,1,1,1,1,NA,NA,0,100,0,0,100,0,2,NA,NA,1000,3,"",0,1,NA,210000,2,NA,NA,0,0,0,100,0,0,0,0,1,7e+05,1,100,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,1,0,1,30,1,3,2,2,NA,0,NA,2,NA,NA,1,90,2,1,1,1,1,1,1,1,2,2,2,2,3,1,2,47,42,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,100,1,NA,NA,NA,NA,1,0,7,12,NA,953357,62756211,NA,NA,NA,NA,NA,"Main Manager",3,2,"",NA,NA,"",NA,NA,17,4,2017,11,44,2,2,1,NA,NA,1,4,2,1,1.84193968772888,2.71460771560669,3.07450222969055,16
614218,9,1,3,1,2,1,2,100,22,1,1,3,25,5,2017,10,19,2,166,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",50,100,0,0,0,1,50,1987,2,1,1987,30,2,-6,"Iso 9001 Till  2018",2,NA,NA,1,1,0,10,1,NA,2,NA,2,NA,NA,2,NA,NA,1,1,0,0,1,"Books And Magazines",2211,35,4276624,"Four Million Two Hundred Seventy And Six Thousand Six Hundred Twenty-Four",5842395,2,5,4,NA,90,10,0,NA,NA,NA,NA,-9,1,2,0,100,1,10,2,100,20,90,1,5,4,-9,-9,-9,-9,80,20,98,2,4,4,-9,-9,-9,-9,2,2,2,3,3,4,NA,NA,5,2,3,1,1,3,"",-9,-9,2,1,1,1,"The Colt Foin Impression","Impression On Colt Foil (Impression On Particles Of Aluminum Adhered To The Substratum Con Cold Glue",1,"Automatation","Machine Technology,  Speed Increase And Arrangements",1,-9,1,2,1,1,1,70,48,100,0,0,100,0,0,2,NA,NA,NA,NA,"",2,1,1,NA,2,NA,NA,0,30,70,0,100,0,0,0,1,-9,NA,NA,-9,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,1,-9,-9,1,1,1,1,1,"",2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,-9,NA,-9,-9,NA,NA,NA,NA,NA,-9,1,2,-9,-9,-9,NA,NA,-9,NA,-9,NA,-9,NA,NA,-9,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,-9,-9,-9,170,-9,-9,-9,-9,-9,-9,-9,-9,NA,-9,NA,NA,-9,-9,NA,NA,NA,NA,2,1,14,2701226,1884227,87653,NA,4691332,1,87,2438183,-9,"General Manager",30,1,"",NA,NA,"",NA,NA,29,5,2017,19,16,2,2,1,NA,NA,1,3,1,1,2.55916142463684,4.08368968963623,4.1274995803833,12
614219,10,1,1,1,2,1,2,100,31,1,1,1,22,3,2017,12,27,2,170,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",98,100,0,0,0,1,51,1996,30,1,1996,25,1,1,"Ibnorca Internatioopnal— Certification",2,NA,NA,1,4,6,1,3,NA,2,NA,2,NA,NA,1,90,60,1,1,1,3,1,"Solar Panels",3190,40,-9,"",-9,3,NA,NA,NA,20,0,80,-7,-8,-7,-7,-9,-7,NA,30,70,1,70,2,70,-9,-9,-9,3,3,1,1,1,1,100,-9,100,3,1,4,1,1,1,1,1,0,4,2,4,2,NA,NA,2,1,4,2,1,3,"",1,-9,2,2,NA,NA,"","",1,"The Solar Bombs","More Sales With The Solar Bombs",2,NA,2,2,1,1,2,20,40,100,0,0,0,0,100,2,NA,NA,NA,NA,"",0,1,2,NA,2,NA,NA,0,0,0,50,0,0,0,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21000,0,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,1,3,-9,12,2,NA,NA,2,NA,-8,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,19,69,11,8,9,2,0,-9,-9,NA,9,3,1,3,1,9,NA,90,NA,0,0,15,-9,55400,1200,NA,-9,-9,NA,-9,-9,"Manager",2,2,"",NA,NA,"",NA,NA,22,3,2017,13,6,1,4,1,NA,NA,1,1,1,1,1,1,1.12288546562195,2
614220,11,1,1,1,2,1,2,100,28,1,1,1,28,3,2017,11,30,2,174,1,2,2,NA,NA,NA,NA,NA,2016,12,31,3,"",100,100,0,0,0,2,NA,1997,5,2,1998,28,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,2,0,3,1,"Safes",2899,20,3e+05,"Three Hundred Thousand",-9,2,40,2,NA,100,0,0,NA,NA,NA,NA,NA,0,0,80,20,2,NA,NA,15,10,15,2,3,2,1,1,1,1,10,100,98,2,4,4,1,1,1,2,1,4,1,1,4,2,NA,NA,5,1,5,2,1,5,"",1,-9,3,1,1,2,"Better Shielding Better Finished Better Painted Decoration","Details Like Ornaments, Loud Colors (Everything Is Done Also Upon Request Of The Customer)",2,"","",2,NA,2,2,1,2,2,30,40,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,1,5,NA,1,0,50,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21000,0,1,1,1,1,4,"",2,2015,208800,42,1,2,1,2,2,2,-9,1,139200,2,2,7,2,NA,NA,NA,2,1,2,1,10,1,3,2,1,0,0,NA,1,7,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,1,3,5,5,1,4,1,0,0,1,0,NA,3,1,3,1,2,NA,NA,NA,NA,2,2,12,3e+05,84000,4200,NA,450000,2,80,200000,500000,"General Manager",20,1,"",NA,NA,"",NA,NA,28,3,2017,13,8,2,3,1,NA,NA,1,1,1,1,17.4421367645264,27.5980777740479,42.9068489074707,2
614221,12,3,1,1,2,1,2,100,52,2,1,1,7,3,2017,10,12,2,102,1,2,2,NA,NA,NA,NA,NA,2016,12,10,5,"",25,75,25,0,0,1,75,1964,30,2,1976,60,2,2,"",2,NA,NA,-9,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,0,0,2,"Hardware, Goods Of Mining",5234,60,6960000,"Six Million Nine Hundred Sixty Thousand (One Million Dollars)",6.3e+07,1,15,7,NA,100,0,0,NA,NA,NA,NA,NA,2,0,0,100,1,90,2,40,0,100,1,1,1,1,1,1,1,20,0,0,1,2,1,2,1,1,1,2,2,1,4,3,1,NA,NA,1,NA,NA,NA,1,5,"",1,1,3,1,1,2,"Goods Of Mining","Product Improved In Mining",2,"","",2,NA,1,2,2,1,2,NA,NA,100,0,0,100,0,0,2,NA,NA,3000,3,"",0,2,NA,NA,2,NA,NA,0,0,70,100,0,0,0,0,1,40000,2,NA,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,60000,100000,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,2,1,3,1,0,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,1,-9,1,2,2,1,1,2,0,0,0,0,0,0,12,18,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,10,2,NA,NA,NA,NA,0,0,-7,2148552,NA,-9,-9,NA,NA,NA,NA,NA,"General Manager",40,1,"",NA,NA,"",NA,NA,7,3,2017,11,7,2,2,1,NA,NA,1,1,3,1,1.9337249994278,3.64570045471191,5.37168073654175,6
614222,14,3,1,1,2,1,2,100,45,3,1,1,20,3,2017,9,16,2,166,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",50,100,0,0,0,2,NA,1987,3,2,1988,30,2,2,"",2,NA,NA,1,3,4,0,NA,7000,2,NA,2,NA,NA,NA,NA,NA,1,2,0,0,4,"Civil Construction",4520,100,0,"Zero (Had No Contracts )",1500000,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,-7,NA,80,20,2,NA,NA,50,0,100,2,3,4,2,1,1,1,0,0,0,3,4,4,1,1,1,1,2,-9,2,4,1,2,2,NA,NA,NA,NA,NA,1,3,"",2,1,2,2,NA,NA,"","",2,"","",1,35000,1,1,1,2,2,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,0,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,2,1,10,1,5,2,1,20,0,NA,2,NA,NA,2,NA,NA,1,5,2,2,2,2,2,2,3,3,2,3,4,-9,5,5,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,100,2,NA,NA,NA,NA,0,0,12,10500,NA,3000,NA,NA,NA,NA,NA,NA,"Proprietary Manager",30,1,"",NA,NA,"",NA,NA,20,3,2017,9,50,2,3,3,1,20,1,1,3,1,1.81825816631317,3.4659903049469,4.63795280456543,6
614223,15,1,3,1,2,1,2,100,21,1,1,3,24,3,2017,10,29,2,174,1,2,1,3,1,2,NA,NA,2016,12,31,1,"",51,100,0,0,0,1,63,1946,-9,1,1946,45,2,1,"Iso 9001- 2009",2,NA,NA,1,0,NA,NA,NA,350000,2,NA,2,NA,NA,2,NA,NA,1,1,4,3,1,"Cardboard Boxes Corrugated",2109,82,208800000,"Two Hundred Eight Million Eight Hundred Thousand",194880000,1,10,2,NA,78,20,2,3,2,0,0,1950,0,0,0,100,1,3,2,100,100,0,1,5,4,1,1,1,1,100,100,99,1,5,4,1,1,1,2,2,2,3,3,4,4,1,4,NA,2,2,2,2,NA,"",1,2,1,1,1,1,"Boxes Reinforced For Bananas","Resistance And Impermeability",1,"Machinate Corrugating Of Last Generation","Level Of Humidification And Drying",2,NA,1,2,1,1,1,90,80,100,0,0,100,0,0,1,90,2,NA,NA,"",0,1,NA,-9,2,NA,NA,1,100,96,50,50,0,0,0,1,104400000,1,100,2500000,20,NA,80,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,1,1,1,"",2,2016,3.48e+09,12,1,2,1,2,1,2,3000000,7,15000000,2,1,NA,NA,2,1,1,2,1,0,1,20,1,10,2,1,0,0,NA,1,5,2,1,10,2,1,5,1,1,1,1,1,1,3,1,2,3,3,1,251,180,220,31,80,120,20,0,14,NA,20,0,6,100,1,100,NA,90,NA,2,2,11,2.8e+07,112000000,2300000,NA,154000000,1,10,79000000,160000000,"General Manager",25,1,"",NA,NA,"",NA,NA,24,3,2017,11,52,1,1,1,NA,NA,1,3,1,1,1,1.0371401309967,1,12
614224,17,3,1,1,2,1,2,100,51,3,1,1,20,3,2017,17,15,2,174,1,2,1,2,1,1,1,NA,2016,12,31,3,"",100,100,0,0,0,2,NA,1997,3,2,1999,18,2,2,"",1,3,2,1,0,NA,NA,5,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,2,2,3,"Computer To Companies And Private Individuals",5151,40,2e+06,"Two Million",4e+06,2,20,2,NA,100,0,0,NA,NA,NA,NA,NA,10,2,40,60,1,60,2,80,5,80,3,3,2,2,1,1,1,3,15,90,2,2,1,1,1,2,2,1,2,3,2,4,1,1,1,NA,NA,NA,NA,1,2,"",1,1,2,1,1,1,"Sale Of Television Sets With Advisers, Computers With Movil Printer","Refrigerator With Gift, Washing Machine With Gift Of A Big Detergent, Television With Its Sound Equipment",1,"Sale Of Car And Having Been The Same To Her House","Improved Customer Service Con Warmth",1,278000,1,1,1,1,1,NA,NA,90,10,0,90,10,0,2,NA,NA,NA,NA,"",0,1,3,NA,1,NA,104000,2,20,40,20,20,15,40,5,1,20000,1,30,20000,20,NA,20,NA,20,NA,0,NA,30,NA,10,NA,2,NA,NA,1,2,1,1,6,"",2,2008,209100,60,1,1,2,2,2,2,556800,1,118320,1,2,1,NA,NA,NA,NA,2,2,2,1,10,2,NA,NA,2,NA,10,NA,2,NA,NA,2,NA,NA,1,1,2,2,2,2,2,2,2,2,4,4,4,4,6,4,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,4,1,NA,NA,NA,NA,2,2,4,187200,NA,3360,NA,NA,NA,NA,NA,NA,"General Manager",18,1,"",NA,NA,"",NA,NA,20,3,2017,18,11,2,2,1,NA,NA,1,1,3,1,3.76170253753662,7.50835847854614,12.3285188674927,6
