"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a12","a1","a1a","a7","a7a","a7b","a7c","a11","a9","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","d30a","d30b","TRd1a","TRd1b","TRd1c","TRd1dx1","TRd2dx2","TRd2","TRd3","TRd4","TRd5a","TRd5b","TRd6","TRd7","TRd9a","TRd9b","TRd9c","TRd9d","TRd9e","TRd9f","TRd9g","TRd9h","TRd9i","TRd9j","TRd9l","TRd9m","TRd11","TRd13a","TRd13b","TRd13c","TRd13cx","TRd14","TRd15","TRd16","e1","e2b","e6","e11","e30","AFe31","AFe32","AFe33a","AFe33b","AFe33c","AFe33d","AFe33e","AFe33f","AFe33g","AFe33gx","AFe34","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","AFk3a","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","AFk5hdj_a1","AFk5hdj_a1_1","AFk5hdj_a2","AFk5hdj_a2_1","AFk5e2","k4b","n5c","n5d","k6","k7","k8","k9","mc1","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","MMs1","MMs1a","MMs2","MMs3","MMs4","MMs5","MMs6","MMs7","MMs8","MMs9","MMs10","MMs11a","MMs11b","MMs11c","MMs11d","MMs11e","MMs11f","mc2","mc3","mc4","mc4x","mc5","mc6","mc6x","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","AFl11a","AFl11b","AFl11c","AFl11d","AFl11e","AFl11f","AFl11g","AFl12","AFl13a","AFl13b","AFl13c","AFl13d","AFl13e","AFl13x","AFl14a1x","AFl14d1","AFl14a2x","AFl14d2","AFl14a3x","AFl14d3","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
613915,1,4,2,2,2,1,2,2000,55,3,2,2,25,5,2017,12,5,2022,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1987,22,1,1974,20,2,2,"",2,NA,NA,1,-9,NA,NA,-9,NA,1,-9,2,NA,NA,NA,NA,NA,1,2,3,3,5,"Hotel Services",5510,100,1.7e+07,"Seventeen Million",1.6e+07,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,-9,4,1,1,2,1,2,2,2,2,1,"Chamber Of Commerce",0,1,2,"The Renovation Of The Rooms","Completely New",2,"","",1,-9,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,2400000,2,NA,NA,0,0,0,100,0,0,0,0,NA,1,10000000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,5000000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-9,-9,-9,-9,-9,2,NA,NA,"",NA,4,"",-9,4,2,NA,NA,2,NA,NA,0,2,NA,NA,2,NA,NA,4,4,0,4,3,0,23,23,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,-9,1,NA,NA,NA,NA,1,1,0,1,0,0,1,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,1,0,14,6000000,NA,7000000,NA,NA,NA,NA,"Director General",20,1,"",NA,NA,"",NA,NA,25,5,2017,12,54,1,2,1,NA,NA,2,4,4,1,1,1,1,29
613916,2,2,1,2,2,1,2,2000,15,1,2,1,9,5,2017,17,23,2021,32,1,1,2,1,1,1,NA,4,"",25,100,0,0,0,2,NA,1971,24,1,1971,7,2,2,"",2,NA,NA,1,2,3,20,5,NA,1,10,2,NA,NA,2,NA,NA,2,2,1,1,1,"Bread Manufacturing",1541,100,3e+06,"Three Million",5e+06,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,2,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,-4,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,30,96,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,10,0,60,40,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,NA,2000,1.5e+07,1,2,1,2,2,2,30000000,1,1,2,2,7,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,NA,NA,"",NA,4,"",2,5,1,3,2,2,NA,50,NA,2,NA,NA,2,NA,NA,1,1,1,1,1,1,14,18,10,4,6,4,0,0,0,NA,0,NA,NA,0,2,NA,NA,NA,NA,1,-7,1,1,-7,-7,-7,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,1,1,350000,336000,700000,NA,-9,-9,0,"Manager",7,1,"",NA,NA,"",NA,NA,9,5,2017,18,52,1,1,1,NA,NA,2,1,2,1,1.60032498836517,1.61790442466736,1.66666662693024,20
613917,4,2,1,1,1,1,2,2000,22,1,1,1,19,4,2017,12,4,2003,32,1,2,NA,NA,NA,NA,NA,1,"",99,100,0,0,0,2,NA,2000,11,1,2000,23,2,2,"",1,30,2,1,30,3,30,-9,NA,2,NA,1,1,2,2,NA,NA,1,2,3,2,1,"Edition Of Newspaper",2212,100,-9,"",2.2e+07,100,0,0,NA,NA,NA,NA,NA,0,0,0,100,2,NA,NA,1,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,50,2,1,0,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,2,"Magazines And The Newspaper Published Online","Completely New",2,"","",2,NA,100,56,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,1,1,NA,2,NA,NA,0,0,0,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3000000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,NA,NA,"",NA,5,"",2,10,1,1,2,1,0,NA,0,2,NA,NA,2,NA,NA,2,2,0,0,-9,0,8,8,6,-9,3,2,1,0,0,NA,0,NA,NA,85,2,NA,NA,NA,NA,0,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,0,0,14,-9,-9,500000,NA,-9,-9,-9,"Shareholder",17,1,"Chief Editor",8,1,"",NA,NA,19,4,2017,13,15,2,2,2,1,10,1,1,2,1,1,1,1,4
613918,5,1,2,2,2,1,2,2000,24,1,2,2,2,5,2017,10,19,2021,32,1,1,2,1,1,1,NA,3,"",100,100,0,0,0,2,NA,2001,31,1,2001,16,2,2,"",2,NA,NA,1,-9,NA,NA,20,NA,1,50,2,NA,NA,1,-9,NA,1,2,3,3,1,"Cooking Oil And Soap",2411,70,1.5e+08,"One Hundred Fifty Million",5e+08,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,3,3,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,-4,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,30,40,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,5,NA,2,NA,NA,1,0,0,100,0,0,0,0,NA,1,15000000,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1200000,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,4,1,4,1,2,NA,2,NA,1,25,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,1,"",2,25,1,5,2,2,NA,50,NA,2,NA,NA,2,NA,NA,2,3,0,3,0,0,42,43,22,20,1,4,17,0,0,NA,17,0,5,1,2,NA,NA,NA,NA,0,0,0,0,1,1,1,2,NA,NA,NA,NA,NA,"","Mali University",3,"-9",NA,"-9",NA,1,1,12,31000000,50000000,14000000,NA,-9,17000000,0,"Director General",16,1,"",NA,NA,"",NA,NA,2,5,2017,11,40,1,1,1,NA,NA,2,4,1,1,4.37489128112793,4.44580078125,4.58328104019165,27
613919,6,3,3,1,1,2,2,2000,60,3,1,3,15,4,2017,11,25,2006,32,1,1,20,1,1,2,NA,1,"",-9,-9,-9,-9,-9,2,NA,2003,30,1,2003,14,2,1,"Iso 9001",1,15,2,1,2,18,0,1,NA,1,22,1,10,2,NA,NA,NA,1,1,0,0,6,"Passenger Transport",6021,85,5522361775,"Five Billion Five Hundred Twenty Two Million Three Hundred Sixty One Thousand Seven Hundred Seventy Five",-9,-9,-9,-9,NA,NA,NA,NA,2003,-9,0,-9,-9,-9,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,1,2,"",1,1,1,"Sale Of Bus Tickets By Mobile Phone, Shipping Of Packages And Money Transfers, Bus Departures  During The Day","Those Who Can Not Spend The Night In The Station Can Now Take The Day Bus",1,"You Used To Have To Go To The Counter And Buy The Bus Tickets  And Now You Don'T Need To Anymore","Now The Bus Tickets Can Be Bought Even Using Mobile Phones",1,-9,NA,NA,-9,-9,-9,-9,-9,-9,1,10,2,NA,NA,"",0,1,-9,NA,1,NA,82000000,2,32,40,44,20,27,6,3,12,1,1532000000,235000000,40,NA,20,NA,15,NA,12,NA,6,NA,4,NA,3,NA,12,1,1151000000,215000000,1,1,1,2,NA,2016,8e+08,1,1,1,2,1,2,1200000000,2,-8,1,1,NA,2,1,0,1,12,6,2,NA,2,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,1,2,NA,"",NA,NA,"",4,-9,1,4,2,1,0,NA,0,2,NA,NA,2,NA,NA,0,0,0,4,0,0,184,108,NA,NA,NA,NA,NA,NA,NA,1,62,0,8,84,1,NA,NA,NA,NA,1,1,2,0,0,1,2,1,2,2,2,2,2,"","University Abdou Moumouni In Niamey",4,"University Abdou Moumouni In Niamey",4,"Canadian University Of Niger (Unican)",4,0,0,6,-9,NA,-9,NA,NA,NA,NA,"Head Accountant",14,1,"",NA,NA,"",NA,NA,16,4,2017,13,49,1,1,3,2,0,1,3,3,1,1,1.68214023113251,2.85453701019287,13
613920,20,4,1,1,1,2,2,2000,55,3,1,2,22,4,2017,8,6,2008,32,1,2,NA,NA,NA,NA,NA,3,"",100,0,0,0,100,2,NA,1999,8,1,1999,18,2,2,"",2,NA,NA,1,-9,NA,NA,-9,NA,1,-9,2,NA,NA,NA,NA,NA,1,1,3,3,5,"Room Rental And Catering",5510,100,-9,"",-9,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,5,NA,1,100,NA,0,0,0,0,0,0,0,100,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,NA,2016,7.5e+07,1,2,2,2,1,2,90,-9,NA,1,2,3,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,NA,NA,"",NA,5,"",-7,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,0,0,0,0,-7,0,18,18,NA,NA,NA,NA,NA,NA,NA,0,8,0,3,4,2,NA,NA,NA,NA,0,0,1,2,0,0,0,2,NA,NA,NA,NA,NA,"","-9",NA,"-9",NA,"-9",NA,0,0,-7,-9,NA,-9,NA,NA,NA,NA,"Director General",18,1,"",NA,NA,"",NA,NA,22,4,2017,9,6,2,4,1,NA,NA,1,1,4,1,5.8010425567627,7.61468315124512,13.661096572876,8
613921,21,2,1,1,1,1,2,2000,18,1,1,1,21,5,2017,10,23,2007,32,1,2,NA,NA,NA,NA,NA,3,"",100,0,100,0,0,2,NA,2010,2,1,2010,15,2,2,"",2,NA,NA,1,30,3,0,40,NA,2,NA,2,NA,NA,-7,NA,NA,2,2,4,0,1,"Clothing",1810,100,1.5e+07,"Fifteen Million",9e+06,100,0,0,NA,NA,NA,NA,NA,-7,NA,40,60,2,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2,4,2,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,-9,66,0,100,0,0,100,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,0,0,0,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,-9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,NA,NA,"",NA,1,"",-9,0,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,1,0,0,0,0,9,5,9,0,9,0,0,1,0,NA,0,NA,NA,0,2,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,0,1,3780000,1500000,960000,NA,7327861,0,0,"Director General",7,1,"",NA,NA,"",NA,NA,21,5,2017,10,58,1,2,1,NA,NA,1,1,2,1,1,1,1.49774992465973,4
613922,22,4,1,1,1,2,2,2000,55,3,1,1,22,5,2017,13,51,2002,32,1,2,NA,NA,NA,NA,NA,1,"",65,100,0,0,0,2,NA,2005,5,2,2007,13,2,2,"",2,NA,NA,1,9,3,0,NA,13000000,1,-9,2,NA,NA,NA,NA,NA,1,1,3,3,5,"Hotel Services",5510,50,-9,"",-9,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,0,0,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,"The Company Is Now Visible On Internet","Previously The Company Did Not Have A Website",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,100000000,2,NA,NA,2,0,0,100,0,0,0,0,NA,1,0,100000000,NA,100000000,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,NA,NA,"",NA,3,"",1,0,1,12,2,2,NA,NA,0,2,NA,NA,2,NA,NA,3,3,0,3,3,0,-9,-9,NA,NA,NA,NA,NA,NA,NA,-9,0,NA,NA,-9,2,NA,NA,NA,NA,1,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,"","Vatel University In Tunisia",3,"-9",NA,"-9",NA,0,3,11,-9,NA,-9,NA,NA,NA,NA,"Director General",13,1,"Chief Financial Officer",13,1,"Founder Of The Company",13,1,22,5,2017,14,59,2,2,2,1,10,1,1,4,1,1,1,1.53550183773041,8
613923,24,2,2,1,1,2,2,2000,15,1,1,2,16,6,2017,15,34,2016,32,1,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1998,72,1,1998,32,2,2,"",2,NA,NA,1,-9,NA,NA,15,NA,1,20,2,NA,NA,2,NA,NA,1,2,3,1,1,"Dairy Products",1520,87,3e+09,"Three Billion",-9,100,0,0,NA,NA,NA,NA,NA,0,5,13,87,1,45,-8,2,-9,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,5,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,1,"Various Flavours Of Preservative-Free Yoghurts","It Is Made With Local Products Which Are Fresher And Better Quality",1,"Locally Produced Raw Milk Has Been Introduced In The Production Process, Which Improves The Quality Of The Products Produced","The Company Now Produces Bottles On Site Which Was Not The Case In The Past",2,NA,58,30,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,-9,NA,2,NA,NA,1,80,87,100,0,0,0,0,NA,1,35000000,-9,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,1,2,NA,NA,"",NA,4,"",3,10,1,-9,-8,2,NA,-8,NA,1,-9,-9,2,NA,NA,2,2,2,1,1,1,85,85,25,60,4,7,14,2,11,NA,15,2,3,-9,2,NA,NA,NA,NA,1,0,0,-7,0,0,1,1,2,2,1,2,2,"","-9",NA,"-9",NA,"-9",NA,0,2,8,117000000,-9,61968000,NA,778967991,-9,100000000,"Chief Operating Officer",27,1,"",NA,NA,"",NA,NA,16,6,2017,17,38,1,2,1,NA,NA,1,4,2,1,1,1.06201684474945,1.77884864807129,18
613924,27,3,2,2,2,1,2,2000,51,3,2,1,9,5,2017,10,0,2021,32,1,1,2,1,1,1,NA,1,"",25,100,0,0,0,2,NA,1975,5,1,1975,22,2,2,"",2,NA,NA,1,5,1,0,5,NA,1,15,2,NA,NA,NA,NA,NA,1,2,1,1,3,"Rice, Cooking Oil, Agricultural Products",5122,80,2.554e+09,"Two Billion Five Hundred Fifty Four Million",8.48e+09,100,0,0,NA,NA,NA,NA,NA,1,1,100,0,NA,NA,NA,1,2,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,3000000,2,NA,NA,0,70,60,40,60,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5000000,0,1,1,1,1,NA,2016,1.5e+08,1,1,2,2,2,2,100000000,1,1e+08,2,2,3,NA,1,3,1,5,1,2,NA,2,NA,1,10,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,5,"",2,5,1,2,2,2,NA,93,NA,2,NA,NA,2,NA,NA,1,1,2,1,2,1,14,14,NA,NA,NA,NA,NA,NA,NA,0,40,21,1,7,2,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,1,1,35000000,NA,3000000,NA,NA,NA,NA,"Manager",22,1,"",NA,NA,"",NA,NA,9,5,2017,12,23,1,1,3,2,23,2,2,3,1,1.56311190128326,1.6597113609314,1.51763164997101,25
