"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a1","a12","a1a","a1c","a7","a7a","a7b","a11","a7c","a9","a20y","a20m","a20d","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","ASCn3","ASCn4","ASCn5","ASCn5b","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","ASCd5","ASCd6","ASCd7","ASCd8","ASCd9a","ASCd9b","ASCd9d","ASCd9e","ASCd9c","ASCd9f","ASCd14","ASCd15","ASCd16","ASCd17","ASCd18a","ASCd18b","ASCd18d","ASCd18e","ASCd18c","ASCd18f","d30a","d30b","ASCr1","ASCr2","ASCr7","ASCr8","ASCr111","ASCr112","ASCr11","e1","e2b","e6","e11","ASCe12","ASCe12x","ASCe13","ASCe14","e30","h1","h2","ASCh2","h3x","h4x","h5","h6x","h7x","h8","h9","ASCh10a","ASCh10b","ASCh10c","ASCh10d","ASCh10e","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","ASCn6","ASCn7","n5b","k5a","k5a1","k5bc","k5bc1","k5i","k5i1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k8","k9","ASCk8","ASCk8x","ASCk9","k10","k11","ASCk13","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","ASCk17","ASCk18","ASCk19","k20a1","ASCk22","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","ASCj16","ASCj17","ASCj18","ASCj19","ASCj20a","ASCj20b","ASCj20c","ASCj20d","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","ASCn8","ASCn9","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
620397,4,1,3,1,1,2,2,22,24,1,1,3,31,8,2017,10,12,11,9,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",60,100,0,0,0,1,40,1950,20,2,1970,15,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,-6,2,1,3,5,1,1,3,2,1,"Detergent",2424,100,38957625,"Thirty-Eight Million, Nine Hundred And Fifty-Seven Thousand, Six Hundred And Twenty-Five",38303499,1,5,1,15,100,0,0,NA,NA,NA,NA,NA,2,2,80,20,1,15,2,100,100,80,3,5,4,5,2,3,3,100,10,80,4,5,4,3,4,3,4,2,2,3,2,5,4,NA,NA,5,2,-4,2,1,3,"",1,1,2,1,1,1,"The Product Was Placed In A Larger Bowl Of 1 Gallon Of Lava Tableware","The Product Became Larger",2,"","",2,NA,1,1,1,1,1,95,48,80,20,0,100,0,0,1,1,2,NA,NA,"",3,1,1,NA,2,NA,NA,3,80,70,30,20,0,50,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,"",1,2015,300000,36,1,2,1,2,2,2,450000,2,100000,2,2,3,2,NA,NA,NA,2,1,3,1,20,1,2,2,2,NA,0,NA,1,1,2,2,NA,NA,1,1,1,1,1,1,1,1,2,2,3,2,3,3,260,230,200,60,100,50,50,30,20,NA,0,NA,NA,100,1,100,NA,100,NA,3,2,11,3888913,4259880,117361,NA,33204952,2,3,-9,1698971,"Manager",15,1,"",NA,NA,"",NA,NA,31,8,2017,11,20,2,2,1,NA,NA,1,3,1,0,21.1199989318848,21.1199989318848,21.1199989318848,13
620398,42,1,2,3,2,2,2,22,28,1,3,1,22,6,2017,11,11,11,14,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",50,100,0,0,0,2,NA,2011,10,1,2010,20,2,2,"",2,NA,NA,1,5,1,0,0,NA,2,NA,2,NA,NA,-7,NA,NA,1,2,1,2,1,"Metallic Structures",2811,60,478000,"Four Hundred And Seventy-Eight Thousand",301000,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,100,100,3,2,1,1,1,1,1,100,100,100,2,4,4,1,1,1,1,0,0,3,2,6,2,2,NA,NA,1,3,2,1,5,"",2,2,2,1,1,1,"New Types Of Steel","Completely New",2,"","",2,NA,2,2,2,2,2,60,60,0,100,0,0,100,0,2,NA,NA,NA,NA,"",1,1,1,NA,2,NA,NA,1,100,100,100,0,0,0,0,1,15000,2,NA,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,1,0,-7,10,1,2,2,2,NA,0,NA,2,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,21,14,16,5,3,13,0,0,1,NA,0,NA,NA,25,1,100,NA,100,NA,2,1,9,222000,26000,3600,NA,440000,3,NA,-9,227632,"General Manager",3,1,"",NA,NA,"",NA,NA,22,6,2017,12,3,1,1,1,NA,NA,3,2,1,0,9.33333301544189,9.33333301544189,9.33333301544189,40
620399,54,1,2,1,1,2,2,22,25,1,1,2,3,7,2017,10,33,11,7,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",34,100,0,0,0,2,NA,2001,5,2,2002,40,2,-6,"Iso 9001",1,15,2,1,4,3,0,30,NA,1,10,2,NA,NA,2,NA,NA,1,1,2,2,1,"Plastic Sheets",2520,100,4000000,"Four Million",5700000,3,NA,NA,NA,90,10,0,NA,NA,NA,NA,2006,0,0,5,95,1,25,2,100,0,100,1,1,1,1,1,1,1,100,0,100,1,1,1,1,1,1,1,1,0,4,2,3,2,2,NA,NA,2,2,2,2,NA,"",2,2,1,1,1,1,"Plastic Sheeting For Household Use With Dispensers","Optimize The Use Of Materials To Reduce Waste",1,"Initiation Of Machinery With Computerized Technology","Less Costs For The Company",2,NA,1,2,2,2,2,60,144,0,100,0,0,100,0,2,NA,NA,NA,NA,"",2,1,2,NA,2,NA,NA,0,90,95,80,0,0,20,0,1,50000,1,100,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,1,0,1,0,1,15,2,2,NA,0,NA,2,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,3,2,0,4,0,0,21,21,15,6,3,12,0,0,3,NA,0,NA,NA,100,1,100,NA,100,NA,1,0,11,394000,2600000,3e+05,NA,3779904,2,-9,2150000,3000000,"General Counter",2,1,"",NA,NA,"",NA,NA,3,7,2017,11,32,1,1,1,NA,NA,1,2,1,0,33.0833320617676,33.0833320617676,33.0833320617676,7
620400,57,1,3,1,1,2,2,22,24,1,1,3,3,8,2017,15,42,11,10,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",71,100,0,0,0,1,40,2010,130,1,2010,42,2,1,"Iso 14000",2,NA,NA,1,2,0,1,0,NA,1,10,2,NA,NA,2,NA,NA,1,1,4,4,1,"Medicines For Human Use (Finalin Forte)",2423,100,16000000,"Sixteen Million",1.8e+07,1,25,2,NA,100,0,0,NA,NA,NA,NA,NA,0,1,20,80,1,180,2,100,0,90,3,4,4,2,2,3,3,100,5,80,3,5,5,2,2,1,1,3,4,3,2,5,2,1,1,NA,2,4,1,1,1,"",2,1,1,1,1,1,"Desinflamatory And Analgesic","Completely New",2,"","",1,2000000,2,1,1,1,2,70,80,100,0,0,100,0,0,2,NA,NA,NA,NA,"",2,1,1,NA,2,NA,NA,1,100,100,60,0,0,40,0,1,2000000,1,100,0,0,NA,0,NA,0,NA,0,NA,100,NA,0,NA,1,600000,0,1,1,1,2,11,"Cororacion Financiera Nacional",2,2017,2000000,80,1,2,1,2,2,2,3000000,1,3000000,2,2,1,NA,NA,NA,NA,2,1,2,1,4,2,NA,NA,1,1,0,NA,1,30,2,1,30,2,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,4,200,136,150,50,40,40,70,-9,30,NA,0,NA,NA,90,1,100,NA,90,NA,3,3,10,1722301,2447639,140000,NA,9399761,2,5,11000000,17000000,"Financial Manager",12,1,"",NA,NA,"",NA,NA,3,8,2017,17,2,1,1,1,NA,NA,1,3,1,0,21.1199989318848,21.1199989318848,21.1199989318848,13
620401,68,1,3,2,2,1,3,22,21,1,2,3,8,9,2017,9,55,11,9,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",99,100,0,0,0,2,NA,1961,50,1,1961,30,2,1,"Iso 9000,14000",2,NA,NA,1,3,5,0,NA,45000,2,NA,2,NA,NA,2,NA,NA,1,1,3,2,1,"Paper And Paperboard",2101,60,110000000,"One Hundred And Ten Million",1.16e+08,2,18,7,NA,38,44,18,3,2,0,0,1980,1,0,55,45,1,4,2,100,10,15,4,3,3,2,4,3,2,95,10,100,3,3,4,2,3,4,3,4,1,3,3,5,4,NA,NA,5,1,5,1,2,NA,"",2,-9,1,1,1,2,"New Technology And New Software","A Machine That Prints Directly On The Carton The Logos Of The Clients",1,"Automation In The Process Of Carton Processing","New Software",1,35000,1,2,2,2,1,89,100,100,0,0,100,0,0,1,6,2,NA,NA,"",1,1,1,NA,2,NA,NA,3,100,99,20,80,0,0,0,1,2700000,2,NA,300000,80,NA,20,NA,0,NA,0,NA,0,NA,0,NA,1,4000000,350000,1,1,1,1,1,"",2,2017,7000000,84,1,2,1,1,2,2,10500000,3,6500000,2,1,NA,NA,2,3,1,1,2,2,1,3,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,1,1,1,1,1,1,1,1,4,2,3,4,4,2,520,550,450,70,50,210,190,30,10,NA,20,5,3,80,1,100,NA,100,NA,4,4,11,8085175,72000000,2493446,NA,90985245,2,15,3299199,62217,"Manager",12,1,"",NA,NA,"",NA,NA,8,9,2017,11,13,1,1,1,NA,NA,2,3,1,0,17.375,17.375,17.375,31
620402,89,1,1,3,2,2,2,22,25,1,3,1,15,6,2017,8,45,11,14,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",52,100,0,0,0,1,52,1996,6,1,1996,25,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,1,0,0,1,"Manufacture Of Supplies Or Plastic Materials For Offices",2520,80,515854,"Five Hundred And Fifteen Thousand Eight Hundred And Fifty-Four",463182,2,4,5,NA,100,0,0,NA,NA,NA,NA,NA,0,1,48,52,1,1,2,100,0,100,1,5,5,1,1,1,1,85,5,100,1,5,5,1,1,1,1,0,2,3,3,5,2,2,NA,NA,2,10,2,1,5,"",2,-9,3,1,1,2,"The Company Now Makes Plastic Folders","Completely New",1,"Office Equipment Improvement","Completely New",2,NA,2,2,2,2,2,96,45,0,0,100,0,0,100,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,48,80,0,100,0,0,0,1,15000,1,100,0,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,1,33973,0,1,1,1,3,NA,"",2,2017,40000,90,1,2,2,2,2,2,-9,2,17000,1,1,NA,NA,1,NA,1,2,2,2,1,1,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,0,16,14,9,7,1,6,2,2,4,NA,6,4,1,3,2,NA,NA,NA,NA,3,1,10,170400,164169,3429,NA,432560,1,10,47487,250000,"Accountant",18,1,"",NA,NA,"",NA,NA,15,6,2017,10,0,1,1,1,NA,NA,3,1,1,0,24,24,24,36
620403,92,1,3,1,1,2,2,22,28,1,1,3,15,3,2017,15,27,11,1,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",47,100,0,0,0,2,NA,1990,30,1,1990,26,2,1,"Asme (AmÈRican Society Of Mechanical Engineers): Certificate Of Compliance Of The Maximum Guarantees Of Design, Manufacture And Quality Of Industrial Products.",2,NA,NA,1,0,NA,NA,0,NA,1,95,2,NA,NA,-7,NA,NA,1,1,3,3,1,"Equipment And Industrial Plants, For All Industrial Sectors Because They Work Under Request So You Can Not Indicate A Specific Product",2899,100,6100000,"Six Million One Hundred Thousand",8400000,2,20,4,NA,100,0,0,NA,NA,NA,NA,NA,0,0,20,80,1,30,2,50,20,70,2,4,4,1,1,1,1,70,100,100,1,4,4,1,1,1,1,2,3,3,2,5,3,NA,NA,4,2,10,1,1,2,"",2,1,3,1,1,1,"Electrostatic Oil Separator","Completely New",1,"The Processes Of Automation And Control Of The Product For Sale","Completely New",1,50000,1,2,2,2,2,70,50,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,36000,2,NA,NA,0,100,100,40,30,0,20,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300000,0,1,1,1,1,1,"",2,2016,600000,12,1,1,2,2,2,2,1200000,3,600000,2,1,NA,NA,2,1,1,2,1,2,1,10,1,3,2,1,0,0,NA,1,3,2,2,NA,NA,1,2,1,2,2,2,2,2,3,2,3,3,3,3,110,200,70,40,60,10,0,0,8,NA,20,0,2,80,1,80,NA,50,NA,2,3,4,2000000,3000000,30000,NA,5200000,3,NA,1500000,3000000,"General Manager",26,1,"",NA,NA,"",NA,NA,15,3,2017,16,23,1,2,1,NA,NA,1,3,1,0,21.1199989318848,21.1199989318848,21.1199989318848,13
620404,201,1,2,3,2,2,2,22,51,3,3,2,7,7,2017,9,24,11,15,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",65,100,0,0,0,1,18,2005,30,1,2005,30,2,2,"",2,NA,NA,1,1,0,1,1,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,2,2,3,"Sale Of Short Pasta",5122,40,3800000,"Three Million Eight Hundred Thousand",3325000,2,7,1,10,100,0,0,NA,NA,NA,NA,NA,0,0,20,80,1,4,2,100,100,100,1,5,3,3,1,1,2,100,5,99,1,5,3,3,1,1,1,2,2,2,2,4,2,1,1,NA,NA,NA,NA,1,5,"",1,1,1,2,NA,NA,"","",1,"Automation In The Production Of Pasta","Before They Made The Pasta Manually",1,20000,1,1,1,1,2,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",3,1,NA,5000,1,NA,5000,2,80,80,10,80,0,10,0,1,60000,1,100,0,50,NA,50,NA,0,NA,0,NA,0,NA,0,NA,1,50000,0,1,1,1,1,1,"",2,2012,500000,12,1,2,1,2,1,2,1200000,3,650000,1,1,NA,NA,1,NA,1,2,1,1,1,1,1,5,2,2,NA,0,NA,1,8,2,1,30,2,1,2,1,1,1,1,1,1,3,2,2,3,3,2,65,70,NA,NA,NA,NA,NA,NA,NA,12,3,2,3,90,1,NA,NA,NA,NA,2,3,10,450000,NA,96000,NA,NA,NA,NA,NA,NA,"General Manager",12,1,"",NA,NA,"",NA,NA,7,7,2017,10,23,1,1,1,NA,NA,3,2,1,0,9.33333301544189,9.33333301544189,9.33333301544189,40
620405,211,1,2,1,1,2,2,22,28,1,1,2,25,7,2017,9,59,11,5,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",90,100,0,0,0,1,1,2010,15,1,2010,14,2,-6,"Iso 9001",1,3,2,2,NA,NA,NA,NA,NA,1,20,2,NA,NA,1,0,NA,1,1,4,3,1,"Mounting Metallic Structures",2811,95,2159502,"Two Million One Hundred And Fifty-Nine Thousand Five Hundred And Two",1500000,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,100,100,2,3,1,1,1,1,1,20,0,100,4,3,1,1,1,1,1,1,2,3,1,4,2,NA,NA,4,2,5,2,1,4,"",2,1,3,1,1,1,"A Welding Equipment To Verify That The Metal Parts Are Ok","Completely New",2,"","",2,NA,2,2,1,2,2,50,56,100,0,0,100,0,0,2,NA,NA,NA,NA,"",2,1,NA,12000,2,NA,NA,3,90,10,75,0,0,0,25,1,30000,1,100,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,2,1,30,2,NA,NA,1,0,0,NA,1,60,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,2,26,30,23,3,10,13,0,1,2,NA,3,0,3,10,2,NA,NA,NA,NA,2,1,4,274557,1612468,4000,NA,2050059,1,15,250000,230000,"Financial Manager",5,2,"",NA,NA,"",NA,NA,25,7,2017,10,43,2,4,1,NA,NA,1,2,1,0,33.0833320617676,33.0833320617676,33.0833320617676,7
620406,218,1,3,1,1,2,2,22,15,1,1,3,4,8,2017,15,35,11,5,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",90,100,0,0,0,1,34,2001,-9,1,2001,-9,2,2,"",1,15,2,2,NA,NA,NA,NA,NA,1,-9,1,-9,2,2,NA,NA,1,2,1,0,1,"Bakery",1541,45,7500000,"Seven Million Five Hundred Thousand",7900000,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,5,-9,2,3,3,1,1,1,2,95,9,99,1,4,1,1,1,1,1,1,1,2,4,6,1,2,NA,NA,1,-4,-9,1,4,"",1,1,3,1,2,1,"New Variety Of Bakery Products","Completely New",2,"","",2,NA,2,2,2,1,2,70,56,0,100,0,0,100,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,2,90,1,0,0,0,95,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,1,1,4,10,2,NA,NA,2,NA,0,NA,2,NA,NA,1,15,2,2,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,2,2,250,-9,200,50,20,180,0,-9,-9,NA,20,-9,1,95,1,100,NA,100,NA,2,2,12,391000,1400000,178000,NA,4500000,3,NA,570000,600000,"Financial Manager",16,1,"",NA,NA,"",NA,NA,4,8,2017,16,33,2,4,1,NA,NA,1,3,1,0,21.1199989318848,21.1199989318848,21.1199989318848,13
