"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a1","a12","a1a","a1c","a7","a7a","a7b","a11","a7c","a9","a20y","a20m","a20d","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","ASCn3","ASCn4","ASCn5","ASCn5b","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","ASCd5","ASCd6","ASCd7","ASCd8","ASCd9a","ASCd9b","ASCd9d","ASCd9e","ASCd9c","ASCd9f","ASCd14","ASCd15","ASCd16","ASCd17","ASCd18a","ASCd18b","ASCd18d","ASCd18e","ASCd18c","ASCd18f","d30a","d30b","ASCr1","ASCr2","ASCr7","ASCr8","ASCr111","ASCr112","ASCr11","e1","e2b","e6","e11","ASCe12","ASCe12x","ASCe13","ASCe14","e30","h1","h2","ASCh2","h3x","h4x","h5","h6x","h7x","h8","h9","ASCh10a","ASCh10b","ASCh10c","ASCh10d","ASCh10e","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","ASCn6","ASCn7","n5b","k5a","k5a1","k5bc","k5bc1","k5i","k5i1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k8","k9","ASCk8","ASCk8x","ASCk9","k10","k11","ASCk13","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","ASCk17","ASCk18","ASCk19","k20a1","ASCk22","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","ASCj16","ASCj17","ASCj18","ASCj19","ASCj20a","ASCj20b","ASCj20c","ASCj20d","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","ASCn8","ASCn9","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
623448,2,2,2,1,1,1,2,43591067,17,1,1,2,27,2,2017,16,6,7,2,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",80,100,0,0,0,1,10,1978,7,1,1976,41,2,2,"",2,NA,NA,1,1,10,0,1,NA,1,1,2,NA,NA,1,8,24,1,2,4,2,1,"Dyeing Service And Textile Finishes",1712,100,5e+06,"Five Million",7e+06,1,10,1,40,70,30,0,NA,NA,NA,NA,1991,0,0,40,60,1,60,1,90,20,80,2,4,4,3,1,2,3,90,70,98,1,4,4,3,1,1,2,4,4,3,2,4,2,2,NA,NA,2,-4,2,1,3,"",1,1,4,1,2,1,"Special Coating Such As Anti-Stain Antibacterial And Ultraviolet Repellents","Loa Finishes Antibacterial Antibacterial Antimancbas And Hydrophilic",1,"Change In The Chemical Products We Used By Organic Products","To Meet The Effluent Requirements For The Water Distribution Company  And Make It Biodegradable",2,NA,1,2,1,1,2,60,80,0,100,0,0,100,0,2,NA,NA,NA,NA,"",3,1,1,NA,2,NA,NA,3,90,40,5,12,0,83,0,1,200000,1,80,0,0,NA,20,NA,0,NA,0,NA,80,NA,0,NA,2,NA,NA,1,1,1,1,1,"",2,2016,100000,18,2,NA,NA,NA,NA,NA,NA,1,50000,2,1,NA,NA,2,1,1,2,1,1,1,40,1,6,1,2,NA,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,4,2,26,24,20,6,6,10,4,0,3,NA,4,0,12,99,2,NA,NA,NA,NA,3,3,3,507937,-9,312000,NA,2850000,1,12,-9,3500000,"General Manager",39,1,"",NA,NA,"",NA,NA,27,2,2017,17,17,1,2,1,NA,NA,1,2,2,1,4.41744947433472,4.19756937026978,5.77778720855713,14
623449,5,5,1,3,2,2,2,42984798,51,3,4,2,17,5,2017,10,18,7,12,1,2,1,7,1,2,NA,NA,2016,12,31,2,"",50,100,0,0,0,1,50,1992,10,1,1992,25,2,2,"",2,NA,NA,1,2,4,0,1,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,2,3,3,"Construction Materials",5143,80,8.5e+07,"Eighty-Five Million",7e+07,2,4,7,NA,100,0,0,NA,NA,NA,NA,NA,0,5,80,20,1,90,2,95,80,90,3,4,3,3,2,2,4,90,0,90,2,4,4,3,2,3,4,3,2,2,2,4,1,NA,NA,5,NA,NA,NA,1,3,"",1,1,3,1,2,1,"Glue For  Already Made Bricks","Brand New",2,"","",2,NA,1,1,1,2,2,NA,NA,85,15,0,100,0,0,1,30,2,NA,NA,"",3,1,1,NA,2,NA,NA,3,95,25,10,20,0,70,0,1,500000,1,20,700000,20,NA,80,NA,0,NA,0,NA,0,NA,0,NA,1,500000,0,1,1,1,1,2,"",2,2017,6500000,3,1,1,2,2,1,2,1e+07,5,7e+06,2,1,NA,NA,1,NA,1,1,2,3,2,1,1,1,2,2,NA,NA,3000,1,30,2,1,30,1,1,3,1,1,1,1,1,1,2,3,2,3,3,2,60,30,NA,NA,NA,NA,NA,NA,NA,40,5,1,5,90,1,NA,NA,NA,NA,2,2,13,-9,NA,30000,NA,NA,NA,NA,NA,NA,"General Manager",3,1,"",NA,NA,"",NA,NA,17,5,2017,11,5,1,2,1,NA,NA,6,1,5,1,1,1,1,70
623450,9,5,1,2,2,2,2,42984798,52,2,2,1,3,3,2017,15,4,7,11,1,2,2,NA,NA,NA,NA,NA,2015,12,31,2,"",-9,100,0,0,0,1,-9,1972,12,1,1972,30,2,2,"",2,NA,NA,1,7,3,0,0,NA,1,5,2,NA,NA,NA,NA,NA,1,2,2,2,2,"Diesel 2",5050,80,19240000,"Nineteen Million, Two Hundred Forty Thousand",-9,1,-9,7,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,10,100,1,4,4,1,1,1,1,70,30,20,2,2,4,2,1,1,1,1,1,2,2,3,4,NA,NA,5,NA,NA,NA,1,5,"",2,2,2,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,NA,NA,100,0,0,100,0,0,2,NA,NA,4500,3,"",2,2,NA,NA,2,NA,NA,0,100,30,50,30,0,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,2,"",2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,2,-9,-9,-9,NA,NA,NA,NA,NA,2,1,2,1,20,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,13,13,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,100,1,NA,NA,NA,NA,1,1,12,228000,NA,48000,-9,NA,NA,NA,NA,NA,"Administrator",15,1,"",NA,NA,"",NA,NA,3,3,2017,16,12,2,2,1,NA,NA,2,1,5,1,12.9003067016602,9.71250152587891,10.8880653381348,40
623451,10,2,3,1,1,1,2,43591067,18,1,1,3,28,2,2017,8,56,7,5,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",98,100,0,0,0,1,2,1989,500,1,1989,50,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,NA,NA,2,NA,NA,1,1,1,0,1,"Jean Trousers",1810,80,1.8e+08,"One Hundred Eighty Million",1.3e+08,1,10,1,10,98,1,1,2,2,0,0,2002,1,0,60,40,1,5,2,80,40,90,2,3,5,1,1,1,2,80,50,95,3,5,5,1,1,1,1,4,3,3,3,3,3,1,3,NA,2,-4,2,1,1,"",1,1,2,2,NA,NA,"","",1,"Automatic Cutting. It Is An Automatic Machine And Does Not Need Personnel To Work It.","It Is No Longer Done Manually. If Not Automatic. It Does Not Need Personnel.",1,15000000,1,1,1,1,2,80,60,50,50,0,50,50,0,1,30,2,NA,NA,"",2,1,NA,2000000,2,NA,NA,2,80,60,10,60,0,30,0,1,5000000,1,70,17000000,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,1,15000000,10000000,1,1,1,1,1,"",2,2016,20000000,36,1,1,2,2,2,2,2e+07,-9,NA,2,1,NA,NA,1,NA,1,1,1,4,1,-9,1,4,2,2,NA,0,NA,2,NA,NA,1,30,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,1500,1800,800,700,400,200,200,100,200,NA,200,200,3,70,1,50,NA,50,NA,4,2,11,30000000,20000000,2000000,NA,52000000,1,10,1e+07,3000000,"Finance Manager",4,1,"",NA,NA,"",NA,NA,28,2,2017,10,11,1,2,1,NA,NA,1,3,2,1,1.47711825370789,1.09723806381226,1.45289278030396,24
623452,11,2,3,1,1,1,2,43591067,18,1,1,2,28,2,2017,10,46,7,5,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",34,100,0,0,0,1,66,1996,40,2,1996,21,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,2,1,0,1,"Clothing For Ladies",1810,100,902000,"Nine Hundred Two Thousand",1505000,1,30,1,15,98,2,0,NA,NA,NA,NA,2000,0,0,100,0,NA,NA,NA,100,10,6,2,2,2,1,1,1,1,30,7,100,1,4,4,1,1,1,1,1,0,2,4,3,2,NA,NA,5,1,-4,2,1,5,"",1,1,2,1,1,1,"Quality And Design In The Clothes.","Improve Prints, Design.",1,"Now They Use Sublimation Processes. Paper That With Heat Transfers The Image To The Garment.","Sublimation Process",2,NA,2,2,2,2,2,25,40,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,1,2,0,98,0,0,2,0,1,25000,1,100,-9,NA,25000,NA,0,NA,0,NA,0,NA,0,NA,0,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,1,2,0,1,10,1,3,2,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,1,0,20,30,16,4,1,15,0,4,2,NA,20,8,3,4,2,NA,NA,NA,NA,2,1,10,-9,-9,-9,NA,-9,2,10,-9,200000,"Administrator",2,1,"",NA,NA,"",NA,NA,28,2,2017,12,7,1,2,1,NA,NA,1,3,2,1,1.47711825370789,1.09723806381226,1.45289278030396,24
623453,14,2,1,1,1,1,2,42984798,18,1,1,0,20,3,2017,9,45,7,9,1,2,2,NA,NA,NA,NA,NA,2016,12,31,3,"",100,100,0,0,0,1,100,1996,5,1,1996,21,2,2,"",2,NA,NA,1,0,NA,NA,0,NA,2,NA,2,NA,NA,-7,NA,NA,2,2,2,1,1,"Baby Clothes From Dralon Acrylic Yarn",1810,100,124000,"One Hundred Twenty-Four Thousand",103000,1,10,1,10,100,0,0,NA,NA,NA,NA,NA,5,0,100,0,NA,NA,NA,100,0,100,1,3,1,1,1,1,1,100,80,100,1,4,1,1,1,1,1,1,0,2,4,3,1,NA,NA,5,1,-4,2,1,5,"",2,1,4,1,2,1,"Industrial Embroidery, Packaging With Cardboard For Brand Exhibition, Buttonhole And Machine Keypad","The Embroidery Was Made By Hand, The Buttons Were Glued By Hand. Now It'S Faster On The Machine",2,"","",2,NA,2,2,2,2,2,100,48,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,50,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,0,4,0,1,1,2,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,4,3,3,3,3,0,1,2,0,1,0,NA,0,NA,NA,100,2,NA,NA,NA,NA,0,0,4,30600,43200,3840,NA,78332,3,NA,-9,32500,"Owner",21,1,"",NA,NA,"",NA,NA,20,3,2017,11,10,1,2,1,NA,NA,1,1,2,1,3.31894326210022,2.69221711158752,3.57081651687622,4
623454,15,2,1,2,2,2,2,42984798,18,1,2,1,6,3,2017,10,54,7,11,1,2,2,NA,NA,NA,NA,NA,2015,12,31,3,"",100,100,0,0,0,2,NA,1994,2,1,1994,23,2,2,"",2,NA,NA,1,3,2,0,1,NA,2,NA,2,NA,NA,1,3,2,1,2,3,2,1,"Nylon Pantyhose",1810,70,-9,"",-9,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,5,95,2,NA,NA,10,5,5,3,4,4,1,1,1,1,100,5,98,3,4,4,1,1,1,1,3,2,3,4,1,1,2,NA,NA,2,0,2,2,NA,"",2,-9,1,1,1,2,"Cotton Insoles","Brand New",2,"","",2,NA,2,2,2,2,2,30,49,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,100,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,0,1,2,2,NA,NA,2,NA,-9,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,1,0,5,5,4,1,0,3,1,3,0,NA,0,NA,NA,100,2,NA,NA,NA,NA,1,0,8,70000,48000,36000,NA,250000,3,NA,-9,1000000,"General Manager",23,1,"",NA,NA,"",NA,NA,6,3,2017,12,21,2,2,1,NA,NA,2,1,2,1,1.15039169788361,1.13003706932068,1.80014097690582,34
623455,18,1,3,1,1,1,2,43591067,15,1,1,3,5,4,2017,14,17,7,3,1,2,1,6,1,2,NA,NA,2016,12,31,1,"",89,11,89,0,0,1,-9,1996,-9,1,1996,25,1,1,"Iso 10000, Iso 20000, Among Others",1,730,2,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,1,1,1,1,"Fishmeal",1512,95,3.4e+08,"Three Hundred Forty Million",4e+08,3,NA,NA,NA,0,5,95,-9,2,0,0,1996,1,0,100,0,NA,NA,NA,10,0,100,1,3,3,1,1,1,1,50,0,98,1,3,3,1,1,1,1,0,0,3,3,6,4,1,1,NA,3,NA,1,1,5,"",2,1,2,1,1,1,"Confidential","Same As The Previous",1,"Control In Effluent Treatment","Improved Fish Processing",1,1000000,1,2,1,2,1,50,168,100,0,0,100,0,0,1,30,1,NA,NA,"",0,1,1,NA,1,-9,NA,0,100,0,0,100,0,0,0,1,150000000,1,80,0,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,1,150000000,0,1,1,1,1,1,"",2,2016,15000000,60,1,2,1,2,2,2,1.5e+07,8,1e+09,2,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,2,2,NA,0,NA,2,NA,NA,1,365,2,1,4,1,1,1,1,1,1,1,1,2,2,2,2,1200,2000,800,400,400,200,200,80,40,NA,0,NA,NA,95,1,100,NA,100,NA,2,3,10,45000000,250000000,15000000,NA,310000000,3,NA,8e+08,800000000,"Cfo",12,1,"",NA,NA,"",NA,NA,5,4,2017,15,21,2,2,1,NA,NA,1,3,1,1,1,1,1,22
623456,19,5,2,1,1,1,2,42984798,51,3,1,2,24,4,2017,16,2,7,6,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",97,100,0,0,0,1,1,1980,7,1,1980,-9,2,1,"Iso 9001",2,NA,NA,1,0,NA,NA,0,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,0,0,3,"Chemical Supplies",5190,100,20160000,"Twenty Million, One Hundred Sixty Thousand",23920000,3,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,2,98,1,-9,2,80,20,80,1,3,3,1,1,1,1,70,20,90,2,3,3,1,1,1,1,0,1,3,2,6,2,NA,NA,2,NA,NA,NA,1,3,"",1,1,2,1,2,1,"This Information Is Confidential. We Refrain From Answering","This Information Is Confidential. We Refrain From Answering",1,"The Delivery Process Was Modified To Make It More Efficient","The New Delivery Process Has Allowed Us To Deliver Our Products In Less Time",2,NA,2,1,1,2,1,NA,NA,60,40,0,60,40,0,2,NA,NA,NA,NA,"",1,1,NA,33600,2,NA,NA,0,60,85,30,70,0,0,0,1,-9,NA,NA,0,0,NA,100,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,1,1,1,"",2,2016,-9,-9,2,NA,NA,NA,NA,NA,NA,-9,NA,2,1,NA,NA,1,NA,1,1,1,0,1,4,1,2,2,2,NA,0,NA,2,NA,NA,2,NA,NA,1,1,1,1,1,1,1,1,0,2,3,3,2,3,46,46,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,100,1,NA,NA,NA,NA,2,2,11,-9,NA,-9,NA,NA,NA,NA,NA,NA,"Head Of Administration And Finance",5,1,"",NA,NA,"",NA,NA,24,4,2017,16,46,1,2,1,NA,NA,1,2,5,1,29.5124111175537,24.7079200744629,33.305778503418,20
623457,21,5,2,1,1,1,2,43591067,51,3,1,3,30,3,2017,8,23,7,9,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",50,100,0,0,0,2,NA,1997,10,1,1997,50,2,2,"",1,15,2,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,1,0,3,"Telecommunications Equipment",5152,30,1.2e+08,"One Hundred Twenty Million",1.1e+08,2,10,1,10,100,0,0,NA,NA,NA,NA,NA,0,1,0,100,1,10,2,100,30,100,1,3,4,1,1,1,1,100,20,80,2,4,4,1,1,1,3,3,1,1,3,3,2,NA,NA,3,NA,NA,NA,1,3,"",1,1,3,1,1,1,"Evolution Of The Innovation Sector","Brand New",1,"New Platform","Brand New",1,330000,1,1,2,1,1,NA,NA,70,30,0,70,30,0,1,-6,2,NA,NA,"",1,1,-9,NA,2,NA,NA,0,80,80,30,50,0,20,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,660000,1,1,1,1,1,"",2,2016,21000000,12,2,NA,NA,NA,NA,NA,NA,7,2.1e+07,2,1,NA,NA,1,NA,1,2,1,1,1,2,1,2,2,2,NA,0,NA,1,7,2,1,-6,2,1,3,1,2,2,1,1,1,1,1,1,2,1,1,100,80,NA,NA,NA,NA,NA,NA,NA,50,7,3,12,100,1,NA,NA,NA,NA,1,3,11,4200000,NA,120000,NA,NA,NA,NA,NA,NA,"General Manager",20,1,"",NA,NA,"",NA,NA,30,3,2017,9,22,1,2,1,NA,NA,1,2,5,1,7.23716020584106,5.74735307693481,7.10711574554443,20
