"Country.Name","Country.Code","Year","AG.AGR.TRAC.NO","AG.CON.FERT.PT.ZS","AG.CON.FERT.ZS","AG.LND.AGRI.K2","AG.LND.ARBL.HA","AG.LND.ARBL.ZS","AG.LND.CREL.HA","AG.LND.CROP.ZS","AG.LND.EL5M.RU.K2","AG.LND.FRST.K2","AG.LND.IRIG.AG.ZS","AG.LND.PRCP.MM","AG.LND.TOTL.K2","AG.LND.TOTL.RU.K2","AG.PRD.CREL.MT","AG.SRF.TOTL.K2","AG.YLD.CREL.KG","EN.ATM.METH.AG.KT.CE","EN.ATM.NOXE.AG.KT.CE","ER.H2O.FWAG.ZS","NV.AGR.TOTL.CD","NV.AGR.TOTL.ZS","SL.AGR.EMPL.ZS","SP.RUR.TOTL","SL.EMP.TOTL.SP.ZS","SP.POP.65UP.TO","SP.POP.1564.TO","TX.VAL.AGRI.ZS.UN","ER.H2O.FWTL.K3","SL.EMP.TOTL.SP.MA.NE.ZS","SL.EMP.1524.SP.ZS","SL.EMP.1524.SP.NE.ZS","SP.POP.0014.TO","SP.POP.TOTL"
"Afghanistan","AFG",1990,120,NA,NA,380400,7910000,12.1159207180713,2253000,0.199123855037834,NA,13500,NA,NA,652860,NA,2705000,652860,1200.6,5028.30634805066,2008.253191,NA,NA,NA,NA,10005566,NA,270930,6093533,NA,NA,NA,NA,NA,5884651,12249114
"Albania","ALB",1990,12300,NA,NA,11210,579000,21.1313868613139,321000,4.56204379562044,1294.595459,7888,NA,NA,27400,26686.71094,897000,28750,2794.4,1551.13056758306,1071.9454877,83.33,754499962.5,35.9007899107974,NA,2089320,NA,180846,2031132,NA,1.2,NA,NA,NA,1074564,3286542
"Algeria","DZA",1990,91426,NA,NA,386760,7081000,2.97303651951934,2365999,0.232603054909436,378.7591858,16670,NA,NA,2381740,2285675.75,1627035,2381740,687.7,3719.32795600335,2469.498657,60,6441169870.50681,11.3582674294206,NA,12415911,NA,875546,13806990,0.00326699070639204,4.436,NA,NA,NA,11229831,25912367
"American Samoa","ASM",1990,11,NA,NA,30,1000,5,NA,10,4.429729939,183.9,NA,NA,200,87.64226532,NA,200,NA,2.98083306464773,0.82542639552,NA,NA,NA,NA,8962,NA,NA,NA,NA,NA,NA,NA,NA,NA,47038
"Andorra","AND",1990,NA,NA,NA,230,1000,2.12765957446809,NA,NA,NA,160,NA,NA,470,NA,NA,470,NA,0,0,NA,NA,NA,NA,2882,NA,NA,NA,NA,NA,NA,NA,NA,NA,54509
"Angola","AGO",1990,NA,NA,NA,574040,2900000,2.3261410122724,774281,0.401058795219379,1516.944458,609760,NA,NA,1246700,1248198.625,248500,1246700,320.9,13996.9429340727,15653.777856,NA,1840474643.81016,18.3556671142667,NA,9057743,NA,310389,5984034,0.00186685103667046,NA,NA,NA,NA,5877018,12171441
"Antigua and Barbuda","ATG",1990,NA,NA,NA,90,4000,9.09090909090909,21,2.27272727272727,32.37356186,103,NA,NA,440,167.8600616,50,440,2381,23.6286145704884,9.806660466,20,8181925.92592593,2.05135729053544,NA,43068,NA,4981,40862,NA,0.0017,NA,NA,NA,20853,66696
"Argentina","ARG",1990,264500,NA,NA,1275650,26575000,9.71063584110732,8504919,0.372713021935258,22906.61719,347930,NA,NA,2736690,2690269.5,19142700,2780400,2250.8,78230.6144271227,32363.82702,NA,11483008746.543,8.12367620787489,NA,4260103,NA,2963181,19746934,4.31408305772595,NA,62.9000015258789,NA,NA,10019624,32729739
"Armenia","ARM",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,3350,NA,NA,28470,NA,NA,29740,NA,1250.51354461573,586.2241019,NA,360663574.274582,17.3762697212016,NA,1152699,NA,199268,2275895,NA,NA,NA,NA,NA,1063002,3538165
"Aruba","ABW",1990,NA,NA,NA,20,2000,11.1111111111111,NA,NA,4.278098583,4.2,NA,NA,180,9.008321762,NA,180,NA,0.800714315271354,0.70712984,NA,NA,NA,NA,30876,NA,4758,42135,0.0809986783737454,NA,NA,NA,NA,15256,62149
