"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a1","a12","a1a","a1c","a7","a7a","a7b","a11","a7c","a9","a20y","a20m","a20d","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","ASCn3","ASCn4","ASCn5","ASCn5b","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","ASCd5","ASCd6","ASCd7","ASCd8","ASCd9a","ASCd9b","ASCd9d","ASCd9e","ASCd9c","ASCd9f","ASCd14","ASCd15","ASCd16","ASCd17","ASCd18a","ASCd18b","ASCd18d","ASCd18e","ASCd18c","ASCd18f","d30a","d30b","ASCr1","ASCr2","ASCr7","ASCr8","ASCr111","ASCr112","ASCr11","e1","e2b","e6","e11","ASCe12","ASCe12x","ASCe13","ASCe14","e30","h1","h2","ASCh2","h3x","h4x","h5","h6x","h7x","h8","h9","ASCh10a","ASCh10b","ASCh10c","ASCh10d","ASCh10e","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","ASCn6","ASCn7","n5b","k5a","k5a1","k5bc","k5bc1","k5i","k5i1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k8","k9","ASCk8","ASCk8x","ASCk9","k10","k11","ASCk13","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","ASCk17","ASCk18","ASCk19","k20a1","ASCk22","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","ASCj16","ASCj17","ASCj18","ASCj19","ASCj20a","ASCj20b","ASCj20c","ASCj20d","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","ASCn8","ASCn9","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
621810,7,1,1,1,1,1,2,1,15,1,1,1,25,4,2017,11,24,8,2,1,2,2,NA,NA,NA,NA,NA,2016,12,1,5,"",50,100,0,0,0,2,NA,1996,5,1,1996,31,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,2,1,0,1,"Manufacture Of Bakery Products And Resale Of Bakery, Deli And Dairy Products",1541,40,-9,"",-9,1,-9,1,-9,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,0,20,3,3,1,1,1,1,1,100,0,100,1,4,1,1,1,1,1,2,0,3,4,3,4,NA,NA,5,2,-4,2,1,6,"Sale Of Posters And Clandestine Production",2,2,3,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,85,108,0,100,0,0,100,0,-9,NA,NA,NA,NA,"",0,1,-9,NA,2,NA,NA,2,0,0,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,435000,0,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,2,2,0,3,40,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,12,15,3,9,1,2,0,0,7,NA,0,NA,NA,2,2,NA,NA,NA,NA,0,0,12,-9,-9,-9,NA,-9,1,-9,-9,2030000,"Owner",21,1,"",NA,NA,"",NA,NA,25,4,2017,12,5,2,3,1,NA,NA,1,1,1,1,5.65041255950928,5.71335506439209,6.05678653717041,2
621811,8,1,1,1,1,1,2,1,15,1,1,1,1,12,2017,14,15,8,1,1,2,2,NA,NA,NA,NA,NA,2017,6,30,5,"",60,100,0,0,0,1,100,1965,-9,1,1965,21,1,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,2,4,3,1,"Pagnified Products",1541,100,-9,"",-9,2,40,7,NA,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,100,0,90,2,3,1,1,1,1,1,60,30,100,2,2,1,1,1,1,1,0,1,3,4,6,1,2,NA,NA,1,-4,2,1,5,"",2,1,3,1,1,2,"Products With New Flavors","They Added New Flavors",2,"","",2,NA,2,2,2,2,2,50,114,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,1,10,NA,1,-9,NA,2,40,15,0,0,100,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,7,1,2,1,2,4,1,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,1,3,1,1,1,1,2,2,3,3,2,2,4,3,7,11,3,4,0,3,0,2,2,NA,2,0,1,0,2,NA,NA,NA,NA,0,2,12,-9,-9,300000,NA,3e+05,2,40,-9,-9,"Owner",21,2,"",NA,NA,"",NA,NA,1,12,2017,15,13,2,3,1,NA,NA,1,1,1,1,5.65041255950928,5.71335506439209,6.05678653717041,2
621812,10,1,1,1,1,1,2,1,15,1,1,1,27,4,2017,10,11,8,1,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",80,100,0,0,0,1,20,1980,3,1,1980,37,2,2,"",2,NA,NA,1,1,1,0,2,NA,2,NA,2,NA,NA,2,NA,NA,1,1,4,4,1,"Food For Dogs And Cats",1533,80,-9,"",-9,1,10,1,10,100,0,0,NA,NA,NA,NA,NA,0,10,90,10,2,NA,NA,100,0,50,4,5,4,2,1,2,3,100,30,70,2,5,4,2,1,2,2,2,2,2,1,4,1,2,NA,NA,2,-4,2,2,NA,"",1,-9,2,2,NA,NA,"","",2,"","",2,NA,2,2,1,2,2,30,25,0,100,0,0,100,0,2,NA,NA,NA,NA,"",4,1,NA,3000,2,NA,NA,2,50,50,50,0,0,50,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,2,3,2,NA,NA,NA,2,2,2,2,80,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,1,1,1,2,2,1,2,2,2,1,2,1,1,1,11,12,4,-9,1,2,-9,0,-9,NA,0,NA,NA,-9,2,NA,NA,NA,NA,3,2,2,-9,-9,-9,NA,-9,1,15,-9,-9,"Manager Of Administration",10,1,"",NA,NA,"",NA,NA,27,4,2017,11,5,2,3,1,NA,NA,1,1,1,1,5.65041255950928,5.71335506439209,6.05678653717041,2
621813,11,1,1,1,1,1,2,1,52,2,1,1,13,6,2017,14,2,8,1,1,2,2,NA,NA,NA,NA,NA,2016,12,31,2,"",-9,100,0,0,0,-9,NA,1983,2,1,-9,-9,2,2,"",-9,NA,NA,-9,NA,NA,NA,NA,NA,-9,NA,-9,NA,NA,NA,NA,NA,2,2,3,2,2,"Bakery",5220,61,13171431,"Thirteen Million One Hundred Seventy-One Thousand Four Hundred Thirty-One",7229980,1,-9,1,-9,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,80,-9,-9,-9,4,3,1,1,1,1,80,-9,-9,1,4,4,2,1,1,1,1,0,2,-9,3,1,2,NA,NA,NA,NA,NA,1,5,"",1,-9,2,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,NA,NA,0,0,100,0,0,100,-9,NA,NA,-9,NA,"",-7,2,NA,NA,2,NA,NA,2,43,-9,50,0,0,50,0,1,500000,1,100,-9,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,1e+06,100000,2,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-9,NA,NA,NA,NA,NA,2,2,1,-9,-9,2,NA,NA,2,NA,0,NA,2,NA,NA,-9,NA,NA,1,3,1,1,1,1,1,1,3,0,0,2,-9,0,13,-9,NA,NA,NA,NA,NA,NA,NA,7,14,7,1,-9,-9,NA,NA,NA,NA,4,4,12,6135733,NA,365010,4754343,NA,NA,NA,NA,NA,"Accountant",13,2,"",NA,NA,"",NA,NA,13,6,2017,14,42,1,1,1,NA,NA,1,1,1,1,5.65041255950928,5.71335506439209,6.05678653717041,2
621814,12,1,1,1,1,1,2,1,15,1,1,1,30,3,2017,16,19,8,3,1,2,2,NA,NA,NA,NA,NA,2016,6,30,5,"",75,100,0,0,0,1,25,1939,-9,2,1985,20,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,1,1,0,0,1,"Catering",1549,50,1.7e+07,"Seventeen Million",2.5e+07,1,31,1,25,100,0,0,NA,NA,NA,NA,NA,0,10,50,50,2,NA,NA,100,0,90,3,5,3,1,1,1,1,90,5,95,2,4,3,3,1,1,1,2,0,2,4,4,1,NA,NA,5,1,10,2,1,3,"",-9,1,4,2,NA,NA,"","",1,"Improvement Of Machinery And Exhibition","In Production, It Has Improved Cold And The Duration Of Finished Products",2,NA,1,2,1,2,2,50,84,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,1,NA,40000,1,NA,20000,0,90,50,50,25,0,25,0,1,750000,1,50,0,0,NA,50,NA,25,NA,0,NA,25,NA,0,NA,1,5e+05,0,1,1,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,-9,NA,1,1,2,0,3,10,2,NA,NA,1,0,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,0,2,2,0,19,21,8,11,3,3,2,1,8,NA,0,NA,NA,8,1,0,NA,NA,6,3,2,14,6e+06,6e+06,480000,NA,-9,-9,NA,-9,2800000,"Owner",20,1,"",NA,NA,"",NA,NA,30,3,2017,17,46,1,1,1,NA,NA,1,1,1,1,5.65041255950928,5.71335506439209,6.05678653717041,2
621815,27,1,2,2,2,2,5,1,24,1,2,2,6,4,2017,10,3,8,5,1,2,2,NA,NA,NA,NA,NA,2016,6,30,2,"",45,100,0,0,0,1,-9,1890,-9,1,1890,15,1,2,"",2,NA,NA,1,0,NA,NA,1,NA,2,NA,2,NA,NA,2,NA,NA,1,1,1,2,1,"Manufacture Of Paints And Varnishes",2422,100,48395000,"Forty-Eight Million Three Hundred Ninety-Five Thousand",59940000,1,34,1,40,100,0,0,NA,NA,NA,NA,NA,0,0,38,62,1,5,2,100,0,6,1,5,4,1,1,1,3,2,1,20,3,4,4,1,1,1,3,1,1,2,2,3,1,2,NA,NA,2,25,2,1,5,"",1,1,2,1,2,2,"Water Paint Granitol Line","Protector Water Wood And Brick Protector",2,"","",1,230000,2,1,1,1,1,73,50,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,-9,NA,2,NA,NA,1,99,97,18,32,0,21,29,1,11500,2,NA,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,159000,-9,1,1,1,1,11,"Banque Eritage",2,2016,1800000,9,2,NA,NA,NA,NA,NA,NA,3,6553000,2,1,NA,NA,1,NA,1,2,2,1,3,25,1,2,2,2,NA,0,NA,1,-9,2,2,NA,NA,1,3,1,1,1,1,2,1,2,1,0,0,1,1,44,44,32,12,2,8,22,2,6,NA,0,NA,NA,12,1,16,NA,0,NA,1,2,2,15700000,21840000,600000,NA,38140000,2,12,-9,-9,"Administration And Finance Manager",15,2,"",NA,NA,"",NA,NA,6,4,2017,11,29,1,1,1,NA,NA,2,2,1,1,1,2.08226704597473,2.65611839294434,26
621816,43,2,1,1,1,1,2,1,52,2,1,1,22,5,2017,10,18,8,8,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",60,100,0,0,0,1,40,1960,12,1,1960,40,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,0,4,2,"Sale Of Electronic Spare Parts",5239,95,1200000,"One Million Two Hundred Thousand",1500000,1,10,1,12,100,0,0,NA,NA,NA,NA,NA,0,5,40,60,1,7,2,100,0,100,1,4,3,1,1,1,1,7,0,100,1,4,3,1,1,1,1,2,3,2,3,1,1,NA,NA,2,NA,NA,NA,1,3,"",1,-9,2,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,NA,NA,100,0,0,100,0,0,2,NA,NA,403,3,"",0,1,1,NA,2,NA,NA,1,60,12,40,0,0,60,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,6,"",2,-9,-9,18,1,1,2,1,2,2,1200000,1,120000,2,2,1,NA,NA,NA,NA,2,1,1,1,100,1,3,2,2,NA,0,NA,1,10,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,25,2,NA,NA,NA,NA,1,2,13,4e+05,NA,60000,-9,NA,NA,NA,NA,NA,"Accounting Administrator",1,1,"",NA,NA,"",NA,NA,22,5,2017,11,2,2,2,1,NA,NA,1,1,2,1,6.41928052902222,6.91596078872681,9.40011215209961,4
621817,46,2,1,1,1,1,2,1,52,2,1,1,26,7,2017,10,4,8,7,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",99,100,0,0,0,2,NA,1990,6,1,1990,18,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,4,2,2,"Warehouse Products",5220,70,-9,"",-9,1,-9,1,-9,100,0,0,NA,NA,NA,NA,NA,30,10,70,30,1,-9,2,100,0,100,1,4,4,4,1,1,1,100,0,100,1,5,5,4,1,1,1,1,0,2,4,6,2,NA,NA,5,NA,NA,NA,1,5,"",2,1,2,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,NA,NA,0,100,0,0,100,0,2,NA,NA,200,3,"",1,1,-9,NA,1,30,NA,3,30,15,100,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,-9,1,1,3,"",2,2014,-9,-9,2,NA,NA,NA,NA,NA,NA,1,-9,2,2,1,NA,NA,NA,NA,2,2,1,3,20,2,NA,NA,2,NA,-9,NA,2,NA,NA,2,NA,NA,1,2,1,1,2,1,2,2,4,2,1,1,1,0,10,8,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,50,2,NA,NA,NA,NA,1,1,6,-9,NA,80000,-9,NA,NA,NA,NA,NA,"Owner",20,1,"",NA,NA,"",NA,NA,26,7,2017,10,47,1,2,1,NA,NA,1,1,2,1,6.41928052902222,6.91596078872681,9.40011215209961,4
621818,52,3,1,1,1,1,2,1,55,3,1,1,4,4,2017,10,34,8,82,1,2,2,NA,NA,NA,NA,NA,2016,11,30,3,"",100,100,0,0,0,1,100,1985,2,1,1985,32,2,2,"",2,NA,NA,1,1,1,0,0,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,4,4,5,"Real Estate Services Propierties Sell",5510,80,2016000,"Two Million Sixteen Thousand",-9,2,7,1,12,40,60,0,NA,NA,NA,NA,2012,0,0,100,0,NA,NA,NA,100,30,90,2,4,3,2,3,1,1,20,70,90,2,5,3,2,1,2,1,4,0,2,2,3,4,2,NA,NA,NA,NA,NA,1,3,"",1,1,3,1,1,1,"Computer Area. Program Of Account Statements To The Cell Or Computer","The Statement Was Printed And Sent By Mail. Now The Program Does It Alone",2,"","",2,NA,1,1,2,1,2,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,20,NA,2,NA,NA,4,0,0,100,0,0,0,0,1,300000,1,100,170000,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,1,4,NA,"",2,-9,-9,-9,2,NA,NA,NA,NA,NA,NA,-9,NA,2,2,1,NA,NA,NA,NA,2,2,0,3,48,1,2,2,2,NA,0,NA,2,NA,NA,2,NA,NA,1,3,1,1,1,1,1,1,3,3,1,3,4,1,7,8,NA,NA,NA,NA,NA,NA,NA,3,6,0,6,100,1,NA,NA,NA,NA,2,3,12,-9,NA,-9,NA,NA,NA,NA,NA,NA,"The Owner And Manager",32,1,"",NA,NA,"",NA,NA,4,4,2017,11,27,1,2,1,NA,NA,1,1,3,1,3.39337086677551,3.09542441368103,2.86343574523926,6
621819,56,2,1,1,1,1,2,1,52,2,1,1,9,5,2017,13,11,8,2,1,2,2,NA,NA,NA,NA,NA,2016,12,31,5,"",-9,100,0,0,0,2,NA,1991,16,1,1991,-9,2,2,"",2,NA,NA,-9,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,0,0,2,"Butcher Shop",5220,100,41681609,"Forty-One Million Six Hundred Eighty-One Thousand Six Hundred Nine",39555947,1,-9,7,NA,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,100,0,100,2,4,4,4,1,1,4,99,0,100,1,1,1,1,1,1,1,4,0,-9,4,-9,-9,NA,NA,-7,NA,NA,NA,2,NA,"",2,2,0,2,NA,NA,"","",2,"","",2,NA,2,2,2,2,2,NA,NA,0,100,0,0,100,0,2,NA,NA,-9,NA,"",0,2,NA,NA,1,-9,NA,2,0,1,100,0,0,0,0,1,-9,NA,NA,0,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,-9,0,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,2,0,3,0,2,NA,NA,2,NA,0,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,11,16,NA,NA,NA,NA,NA,NA,NA,-9,0,NA,NA,-9,2,NA,NA,NA,NA,2,2,15,5263438,NA,451834,30585982,NA,NA,NA,NA,NA,"External Consultant",8,2,"",NA,NA,"",NA,NA,9,5,2017,13,45,1,1,1,NA,NA,1,1,2,1,6.41928052902222,6.91596078872681,9.40011215209961,4
