Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Afghanistan,AFG,120,110,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Albania,ALB,12300,8087,7438,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Algeria,DZA,91426,95717,104529,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,American Samoa,ASM,11,17,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Andorra,AND,..,..,355,353,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Argentina,ARG,264500,247600,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Armenia,ARM,..,13122,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Austria,AUT,338482,335028,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Azerbaijan,AZE,..,27052,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Bahamas, The",BHS,113,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bahrain,BHR,9,15,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bangladesh,BGD,2180,1000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Belarus,BLR,..,72902,49517,48100,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Belgium,BEL,..,96271,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Benin,BEN,155,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bermuda,BMU,47,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bhutan,BTN,50,117,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bolivia,BOL,5200,6000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Botswana,BWA,5900,2688,3371,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Brazil,BRA,728779,797466,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Bulgaria,BGR,52375,34709,53100,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Burkina Faso,BFA,840,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Burundi,BDI,163,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cabo Verde,CPV,29,48,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cambodia,KHM,1200,2166,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cameroon,CMR,508,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Canada,CAN,750000,729000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Chile,CHL,35750,53770,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,China,CHN,824113,989139,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Colombia,COL,32000,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cote d'Ivoire,CIV,4830,8400,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Croatia,HRV,..,2300,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cuba,CUB,76702,75887,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Cyprus,CYP,14600,14309,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Czech Republic,CZE,..,96716,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Denmark,DNK,162555,123221,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Djibouti,DJI,8,8,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Dominican Republic,DOM,2330,1868,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Ecuador,ECU,8700,14652,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Egypt, Arab Rep.",EGY,57000,86255,103188,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Eritrea,ERI,..,463,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Estonia,EST,..,50624,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Fiji,FJI,6700,6080,5983,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Finland,FIN,207952,170441,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,France,FRA,1440000,1264000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,French Polynesia,PYF,195,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Georgia,GEO,..,17199,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Germany,DEU,1567500,989488,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Ghana,GHA,1924,1944,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Greece,GRC,215755,253785,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Grenada,GRD,16,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Guinea,GIN,3637,5388,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Guinea-Bissau,GNB,19,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Haiti,HTI,200,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Honduras,HND,4520,5200,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Hungary,HUN,49400,113306,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Iceland,ISL,11467,9019,11525,11432,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,India,IND,988070,2091000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Indonesia,IDN,4524,4013,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,"Iran, Islamic Rep.",IRN,215000,228000,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Iraq,IRQ,38186,46078,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Ireland,IRL,169000,159525,..,..,..,..,..,..,..,..,..,..
"Agricultural machinery, tractors",AG.AGR.TRAC.NO,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
